clock,pid,pname,event_name,pstate_prev,pstate_next,cpu
000000023D51BA00,3,bufwrite,2,4,3,2
000000023D541F00,3,bufwrite,4,3,4,0
000000023E34BCE0,4,bufwrite,3,1,3,0
000000023E354A00,4,bufwrite,4,3,4,3
000000023EA50600,5,bufwrite,3,1,3,0
000000023EA586E0,5,bufwrite,4,3,4,1
000000023EE51220,3,bufwrite,2,4,3,0
000000023EE60720,3,bufwrite,4,3,4,2
000000023EF96A40,6,bufwrite,3,1,3,2
000000023EFA15E0,6,bufwrite,4,3,4,0
000000023EFE1880,6,bufwrite,7,4,2,0
000000023F0B1440,5,bufwrite,2,4,3,1
000000023F0C1EE0,5,bufwrite,4,3,4,0
000000023F1BB600,6,bufwrite,1,2,3,2
000000023F1C6240,6,bufwrite,4,3,4,1
000000023F370400,6,bufwrite,7,4,2,1
000000023F3A5620,6,bufwrite,1,2,3,3
000000023F3B2300,6,bufwrite,4,3,4,1
000000023F3B3D20,3,bufwrite,2,4,3,2
000000023F3C4720,3,bufwrite,4,3,4,2
000000023F4199E0,6,bufwrite,7,4,2,1
000000023F44C0C0,6,bufwrite,1,2,3,3
000000023F4538C0,6,bufwrite,4,3,4,1
000000023F459D40,4,bufwrite,2,4,3,3
000000023F46C200,4,bufwrite,4,3,4,3
000000023F5A7A40,7,bufwrite,3,1,3,2
000000023F5BCA00,3,bufwrite,7,4,2,2
000000023F5CF400,7,bufwrite,4,3,4,2
000000023F607EE0,7,bufwrite,7,4,2,2
000000023F8837C0,3,bufwrite,1,2,3,1
000000023F88E0C0,3,bufwrite,4,3,4,2
000000023F8A7220,7,bufwrite,1,2,3,1
000000023F90D900,6,bufwrite,7,4,2,1
000000023F92D240,7,bufwrite,4,3,4,1
000000023F938EA0,6,bufwrite,1,2,3,3
000000023F93ED80,7,bufwrite,7,4,2,1
000000023F94F580,6,bufwrite,4,3,4,1
000000023F99B9C0,6,bufwrite,7,4,2,1
000000023F9D9720,6,bufwrite,1,2,3,3
000000023F9E1EE0,6,bufwrite,4,3,4,1
000000023FA40B40,7,bufwrite,1,2,3,1
000000023FAA2A60,6,bufwrite,7,4,2,1
000000023FAAF1A0,7,bufwrite,4,3,4,1
000000023FAB58C0,7,bufwrite,7,4,2,1
000000023FAE8F40,6,bufwrite,1,2,3,3
000000023FAF29A0,6,bufwrite,4,3,4,1
000000023FB04940,7,bufwrite,1,2,3,2
000000023FB473E0,6,bufwrite,7,4,2,1
000000023FB525E0,7,bufwrite,4,3,4,1
000000023FB57BE0,7,bufwrite,7,4,2,1
000000023FB863A0,6,bufwrite,1,2,3,3
000000023FB90E40,6,bufwrite,4,3,4,1
000000023FBB2EA0,6,bufwrite,7,4,2,1
000000023FBE7A00,6,bufwrite,1,2,3,3
000000023FBEF4A0,6,bufwrite,4,3,4,1
000000023FC170C0,6,bufwrite,7,4,2,1
000000023FC54060,6,bufwrite,1,2,3,3
000000023FC5B1C0,6,bufwrite,4,3,4,1
000000023FC7A900,6,bufwrite,7,4,2,1
000000023FC9FCE0,6,bufwrite,1,2,3,3
000000023FCA7480,6,bufwrite,4,3,4,1
000000023FCCDF40,6,bufwrite,7,4,2,1
000000023FCFBB20,6,bufwrite,1,2,3,3
000000023FD04040,6,bufwrite,4,3,4,1
000000023FD22EC0,6,bufwrite,7,4,2,1
000000023FD40CC0,6,bufwrite,1,2,3,3
000000023FD4C040,6,bufwrite,4,3,4,1
000000023FD72D00,6,bufwrite,7,4,2,1
000000023FD9AA60,6,bufwrite,1,2,3,3
000000023FDA1F60,6,bufwrite,4,3,4,1
000000023FDC0CA0,6,bufwrite,7,4,2,1
000000023FDDDEC0,6,bufwrite,1,2,3,3
000000023FDE64E0,6,bufwrite,4,3,4,1
000000023FE0D920,6,bufwrite,7,4,2,1
000000023FE39980,6,bufwrite,1,2,3,3
000000023FE40D80,6,bufwrite,4,3,4,1
000000023FE5F320,6,bufwrite,7,4,2,1
000000023FE7C260,6,bufwrite,1,2,3,3
000000023FE83E40,6,bufwrite,4,3,4,1
000000023FEB2F20,6,bufwrite,7,4,2,1
000000023FEE6980,6,bufwrite,1,2,3,3
000000023FEED6C0,6,bufwrite,4,3,4,1
000000023FF07DA0,6,bufwrite,7,4,2,1
000000023FF2FA40,6,bufwrite,1,2,3,3
000000023FF37D00,6,bufwrite,4,3,4,1
000000023FF659C0,6,bufwrite,7,4,2,1
000000023FF7BAA0,8,bufwrite,3,1,3,2
