clock,pid,pname,event_name,pstate_prev,pstate_next,cpu
000000003EEB6CC0,3,bufwrite,2,4,3,0
000000003EF15CA0,3,bufwrite,4,3,4,1
000000003F0744C0,3,bufwrite,2,4,3,1
000000003F0D86E0,3,bufwrite,4,3,4,4
000000003F25E880,4,bufwrite,3,1,3,4
000000003F2C5B80,4,bufwrite,2,4,3,5
000000003F33F520,4,bufwrite,4,3,4,2
000000003F34CB80,4,bufwrite,2,4,3,2
000000003F39BCA0,4,bufwrite,4,3,4,0
000000003F3A7E00,4,bufwrite,2,4,3,0
000000003F4210E0,3,bufwrite,2,4,3,4
000000003F445360,4,bufwrite,4,3,4,2
000000003F44C0E0,4,bufwrite,2,4,3,2
000000003F491B80,3,bufwrite,4,3,4,0
000000003F5E7B00,4,bufwrite,4,3,4,3
000000003F5EF180,4,bufwrite,2,4,3,3
000000003F647640,4,bufwrite,4,3,4,4
000000003F64F040,4,bufwrite,2,4,3,4
000000003F6933C0,4,bufwrite,4,3,4,3
000000003F69A160,4,bufwrite,2,4,3,3
000000003F6E2DA0,4,bufwrite,4,3,4,5
000000003F6E9540,4,bufwrite,2,4,3,5
000000003F791900,5,bufwrite,3,1,3,0
000000003F7AFDA0,4,bufwrite,4,3,4,3
000000003F7B5B40,4,bufwrite,2,4,3,3
000000003F7EDC80,5,bufwrite,2,4,3,5
000000003F83DC00,4,bufwrite,4,3,4,3
000000003F843C20,4,bufwrite,2,4,3,3
000000003F84DDE0,5,bufwrite,4,3,4,4
000000003F854440,5,bufwrite,2,4,3,4
000000003F8AB7C0,5,bufwrite,4,3,4,5
000000003F8B4000,5,bufwrite,2,4,3,5
000000003F8E8260,4,bufwrite,4,3,4,2
000000003F8EEB60,4,bufwrite,2,4,3,2
000000003F938DE0,4,bufwrite,4,3,4,4
000000003F93FD20,4,bufwrite,2,4,3,4
000000003F97BB20,5,bufwrite,4,3,4,3
000000003F981F00,5,bufwrite,2,4,3,3
000000003F9C71A0,4,bufwrite,4,3,4,2
000000003F9CD820,4,bufwrite,2,4,3,2
000000003FA20920,5,bufwrite,4,3,4,4
000000003FA27560,5,bufwrite,2,4,3,4
000000003FA736A0,4,bufwrite,4,3,4,5
000000003FA7BBA0,4,bufwrite,2,4,3,5
000000003FAAFEC0,5,bufwrite,4,3,4,1
000000003FAB6BC0,5,bufwrite,2,4,3,1
000000003FB3D5C0,5,bufwrite,4,3,4,3
000000003FB43F00,5,bufwrite,2,4,3,3
000000003FB7A360,4,bufwrite,4,3,4,1
000000003FB81840,4,bufwrite,2,4,3,1
000000003FBCC200,4,bufwrite,4,3,4,5
000000003FBD23C0,4,bufwrite,2,4,3,5
000000003FC15620,6,bufwrite,3,1,3,0
000000003FC1A700,4,bufwrite,4,3,4,4
000000003FC20AA0,4,bufwrite,2,4,3,4
000000003FC94C40,5,bufwrite,4,3,4,2
000000003FC9B440,5,bufwrite,2,4,3,2
000000003FCDDF00,5,bufwrite,4,3,4,4
000000003FCE4700,5,bufwrite,2,4,3,4
000000003FCEEDA0,4,bufwrite,4,3,4,5
000000003FCF36A0,6,bufwrite,2,4,3,2
000000003FCF7540,4,bufwrite,2,4,3,5
000000003FD39F60,4,bufwrite,4,3,4,1
000000003FD410C0,4,bufwrite,2,4,3,1
000000003FD8C340,4,bufwrite,4,3,4,3
000000003FD93280,4,bufwrite,2,4,3,3
000000003FDD55E0,5,bufwrite,4,3,4,5
000000003FDDB880,5,bufwrite,2,4,3,5
000000003FE23400,6,bufwrite,4,3,4,1
000000003FE29740,6,bufwrite,2,4,3,1
000000003FE8D160,5,bufwrite,4,3,4,2
000000003FE952E0,5,bufwrite,2,4,3,2
000000003FE9EF40,6,bufwrite,4,3,4,5
000000003FEA5F80,6,bufwrite,2,4,3,5
000000003FF11840,4,bufwrite,4,3,4,3
000000003FF19900,4,bufwrite,2,4,3,3
000000003FF4EEA0,5,bufwrite,4,3,4,2
000000003FF55DA0,5,bufwrite,2,4,3,2
000000003FF5F8A0,6,bufwrite,4,3,4,4
000000003FF65D60,6,bufwrite,2,4,3,4
000000003FFBC160,4,bufwrite,4,3,4,1
000000003FFC2960,4,bufwrite,2,4,3,1
000000004001AB20,5,bufwrite,4,3,4,5
0000000040021B20,5,bufwrite,2,4,3,5
000000004007A8A0,4,bufwrite,4,3,4,2
0000000040081700,4,bufwrite,2,4,3,2
00000000400CA2E0,6,bufwrite,4,3,4,2
00000000400D0640,6,bufwrite,2,4,3,2
00000000401049A0,4,bufwrite,4,3,4,4
000000004010C120,4,bufwrite,2,4,3,4
0000000040116FA0,7,bufwrite,3,1,3,0
0000000040118E60,5,bufwrite,4,3,4,3
000000004011FE00,5,bufwrite,2,4,3,3
00000000401496E0,4,bufwrite,4,3,4,1
000000004014EF40,4,bufwrite,2,4,3,1
000000004015B7E0,7,bufwrite,2,4,3,4
0000000040196860,6,bufwrite,4,3,4,1
000000004019C7E0,6,bufwrite,2,4,3,1
0000000040206560,7,bufwrite,4,3,4,1
000000004020DCA0,7,bufwrite,2,4,3,1
00000000402170C0,4,bufwrite,4,3,4,3
000000004021F3A0,4,bufwrite,2,4,3,3
000000004025C3C0,5,bufwrite,4,3,4,3
0000000040263A60,5,bufwrite,2,4,3,3
000000004026B460,4,bufwrite,4,3,4,1
0000000040271F40,4,bufwrite,2,4,3,1
000000004027AD80,6,bufwrite,4,3,4,5
0000000040281D00,6,bufwrite,2,4,3,5
0000000040291200,7,bufwrite,4,3,4,3
0000000040298DE0,7,bufwrite,2,4,3,3
00000000402A5980,5,bufwrite,4,3,4,1
00000000402ABC00,5,bufwrite,2,4,3,1
00000000402E4B40,6,bufwrite,4,3,4,1
00000000402EBB80,6,bufwrite,2,4,3,1
0000000040324A00,4,bufwrite,4,3,4,5
000000004032B720,4,bufwrite,2,4,3,5
0000000040334FA0,5,bufwrite,4,3,4,3
000000004033CC00,5,bufwrite,2,4,3,3
0000000040348DA0,7,bufwrite,4,3,4,1
000000004034F200,7,bufwrite,2,4,3,1
000000004035E860,6,bufwrite,4,3,4,3
00000000403656C0,6,bufwrite,2,4,3,3
0000000040372E60,5,bufwrite,4,3,4,5
0000000040379200,5,bufwrite,2,4,3,5
0000000040382400,4,bufwrite,4,3,4,2
0000000040388EA0,4,bufwrite,2,4,3,2
00000000403BC8A0,7,bufwrite,4,3,4,4
00000000403C35A0,7,bufwrite,2,4,3,4
00000000404047A0,5,bufwrite,4,3,4,2
000000004040B740,5,bufwrite,2,4,3,2
0000000040445FC0,7,bufwrite,4,3,4,2
000000004044E300,7,bufwrite,2,4,3,2
0000000040457C00,4,bufwrite,4,3,4,5
000000004045F6E0,4,bufwrite,2,4,3,5
0000000040468280,5,bufwrite,4,3,4,1
000000004046DAE0,5,bufwrite,2,4,3,1
00000000404B4500,6,bufwrite,4,3,4,1
00000000404BA5C0,6,bufwrite,2,4,3,1
00000000404C3980,5,bufwrite,4,3,4,4
00000000404CABE0,5,bufwrite,2,4,3,4
00000000405040E0,6,bufwrite,4,3,4,4
000000004050C620,6,bufwrite,2,4,3,4
000000004054A340,7,bufwrite,4,3,4,4
0000000040551320,7,bufwrite,2,4,3,4
0000000040559680,5,bufwrite,4,3,4,1
0000000040561700,5,bufwrite,2,4,3,1
0000000040569CC0,6,bufwrite,4,3,4,2
00000000405720C0,6,bufwrite,2,4,3,2
000000004059D740,8,bufwrite,3,1,3,0
00000000405AB620,4,bufwrite,4,3,4,3
00000000405B1900,4,bufwrite,2,4,3,3
0000000040612B20,5,bufwrite,4,3,4,5
000000004061C400,5,bufwrite,2,4,3,5
0000000040629380,7,bufwrite,4,3,4,3
000000004062FA60,7,bufwrite,2,4,3,3
0000000040649E40,4,bufwrite,4,3,4,1
0000000040654B20,4,bufwrite,2,4,3,1
000000004065EDA0,8,bufwrite,2,4,3,5
00000000406BE500,5,bufwrite,4,3,4,3
00000000406C59A0,5,bufwrite,2,4,3,3
00000000406CF0A0,7,bufwrite,4,3,4,4
00000000406D5E20,7,bufwrite,2,4,3,4
00000000406E4F80,8,bufwrite,4,3,4,2
00000000406EF9E0,8,bufwrite,2,4,3,2
00000000406F7980,6,bufwrite,4,3,4,5
0000000040700360,6,bufwrite,2,4,3,5
000000004076C380,5,bufwrite,4,3,4,3
0000000040773B40,5,bufwrite,2,4,3,3
000000004077E5A0,6,bufwrite,4,3,4,5
0000000040786060,6,bufwrite,2,4,3,5
000000004081ED20,7,bufwrite,4,3,4,3
0000000040825CC0,7,bufwrite,2,4,3,3
0000000040835900,8,bufwrite,4,3,4,5
000000004083D8E0,8,bufwrite,2,4,3,5
0000000040847060,4,bufwrite,4,3,4,2
000000004084E160,4,bufwrite,2,4,3,2
0000000040886C00,5,bufwrite,4,3,4,4
000000004088D920,5,bufwrite,2,4,3,4
000000004089CF20,6,bufwrite,4,3,4,2
00000000408A42A0,6,bufwrite,2,4,3,2
00000000408DD800,4,bufwrite,4,3,4,1
00000000408E4140,4,bufwrite,2,4,3,1
00000000408F1F80,7,bufwrite,4,3,4,4
00000000408F9400,7,bufwrite,2,4,3,4
00000000409045C0,5,bufwrite,4,3,4,5
000000004090BF40,5,bufwrite,2,4,3,5
00000000409186C0,8,bufwrite,4,3,4,1
000000004091ED40,8,bufwrite,2,4,3,1
0000000040983600,4,bufwrite,4,3,4,2
0000000040989FE0,4,bufwrite,2,4,3,2
0000000040992B40,6,bufwrite,4,3,4,4
0000000040999120,6,bufwrite,2,4,3,4
00000000409A3280,7,bufwrite,4,3,4,3
00000000409AA500,7,bufwrite,2,4,3,3
00000000409EC0A0,8,bufwrite,4,3,4,2
00000000409F2BC0,8,bufwrite,2,4,3,2
0000000040A28360,4,bufwrite,4,3,4,1
0000000040A2E900,4,bufwrite,2,4,3,1
0000000040A55220,9,bufwrite,3,1,3,0
0000000040A690E0,7,bufwrite,4,3,4,4
0000000040A6F5C0,7,bufwrite,2,4,3,4
0000000040A77380,5,bufwrite,4,3,4,5
0000000040A7DF40,5,bufwrite,2,4,3,5
0000000040ABB3C0,6,bufwrite,4,3,4,1
0000000040AC1EA0,6,bufwrite,2,4,3,1
0000000040ACF380,8,bufwrite,4,3,4,5
0000000040AD57A0,8,bufwrite,2,4,3,5
0000000040ADDBA0,4,bufwrite,4,3,4,3
0000000040AE4C40,4,bufwrite,2,4,3,3
0000000040B053C0,5,bufwrite,4,3,4,3
0000000040B0F7E0,5,bufwrite,2,4,3,3
0000000040B11A80,9,bufwrite,2,4,3,4
0000000040B1E760,7,bufwrite,4,3,4,1
0000000040B24D40,7,bufwrite,2,4,3,1
0000000040B2E900,4,bufwrite,4,3,4,2
0000000040B351A0,4,bufwrite,2,4,3,2
0000000040B41840,6,bufwrite,4,3,4,3
0000000040B47900,6,bufwrite,2,4,3,3
0000000040BB4780,7,bufwrite,4,3,4,3
0000000040BBB000,7,bufwrite,2,4,3,3
0000000040BCAC40,5,bufwrite,4,3,4,2
0000000040BD1B60,5,bufwrite,2,4,3,2
0000000040BDEEC0,8,bufwrite,4,3,4,3
0000000040BE4EA0,8,bufwrite,2,4,3,3
0000000040BF3A80,6,bufwrite,4,3,4,2
0000000040BFBEA0,6,bufwrite,2,4,3,2
0000000040C30B40,9,bufwrite,4,3,4,3
0000000040C38280,9,bufwrite,2,4,3,3
0000000040C421C0,4,bufwrite,4,3,4,1
0000000040C4A1E0,4,bufwrite,2,4,3,1
0000000040C58C00,7,bufwrite,4,3,4,2
0000000040C5FA20,7,bufwrite,2,4,3,2
0000000040C6E160,5,bufwrite,4,3,4,1
0000000040C75EA0,5,bufwrite,2,4,3,1
0000000040C87060,8,bufwrite,4,3,4,2
0000000040C8DD20,8,bufwrite,2,4,3,2
0000000040C9CBA0,6,bufwrite,4,3,4,1
0000000040CA3B60,6,bufwrite,2,4,3,1
0000000040CAD6C0,4,bufwrite,4,3,4,4
0000000040CB3B00,4,bufwrite,2,4,3,4
0000000040CBD940,5,bufwrite,4,3,4,5
0000000040CC41C0,5,bufwrite,2,4,3,5
0000000040CFF5C0,7,bufwrite,4,3,4,1
