clock,pid,pname,event_name,pstate_prev,pstate_next,cpu
00000001C6A49BA0,7,,4,3,4,1
00000001C6A4BB00,31,,4,3,4,4
00000001C6A4C920,26,,4,3,4,2
00000001C6A52C20,33,,4,3,4,6
00000001C6A4EA00,6,,4,3,4,0
00000001C6A5AB60,10,,4,3,4,5
00000001C73E8420,6,,2,4,3,0
00000001C73F4860,8,,4,3,4,0
00000001C740BB20,10,,2,4,3,5
00000001C740D440,36,,2,4,3,3
00000001C741A680,11,,4,3,4,5
00000001C7425580,5,,4,3,4,3
00000001C76FCE80,7,,2,4,3,1
00000001C770A4A0,9,,4,3,4,1
00000001C83D8300,26,,2,4,3,2
00000001C83E9C60,27,,4,3,4,2
00000001C83FB5E0,31,,2,4,3,4
00000001C83FCA40,33,,2,4,3,6
00000001C8409920,32,,4,3,4,4
00000001C84143E0,34,,4,3,4,6
00000001C926CF40,8,,2,4,3,0
00000001C9278E60,10,,4,3,4,0
00000001C928FDC0,5,,2,4,3,3
00000001C9290E00,11,,2,4,3,5
00000001C929F380,6,,4,3,4,3
00000001C92A93E0,12,,4,3,4,5
00000001C957F680,9,,2,4,3,1
00000001C958B9C0,11,,4,3,4,1
00000001CA25A320,27,,2,4,3,2
00000001CA267260,28,,4,3,4,2
00000001CA27C6A0,34,,2,4,3,6
00000001CA27CF00,32,,2,4,3,4
00000001CA28BB80,35,,4,3,4,6
00000001CA2942E0,33,,4,3,4,4
00000001CB0F00E0,10,,2,4,3,0
00000001CB0FB6E0,13,,4,3,4,0
00000001CB1116C0,6,,2,4,3,3
00000001CB113B40,12,,2,4,3,5
00000001CB11FD60,7,,4,3,4,3
00000001CB1299E0,14,,4,3,4,5
00000001CB405140,11,,2,4,3,1
00000001CB410B00,12,,4,3,4,1
00000001CC0E0340,28,,2,4,3,2
00000001CC0EC9A0,29,,4,3,4,2
00000001CC0FFDA0,35,,2,4,3,6
00000001CC101400,33,,2,4,3,4
00000001CC10E400,36,,4,3,4,6
00000001CC116CC0,34,,4,3,4,4
00000001CCF754C0,13,,2,4,3,0
00000001CCF81100,15,,4,3,4,0
00000001CCF96140,7,,2,4,3,3
00000001CCF97720,14,,2,4,3,5
00000001CCFA39E0,8,,4,3,4,3
00000001CCFADD60,16,,4,3,4,5
00000001CD2877C0,12,,2,4,3,1
00000001CD292CA0,13,,4,3,4,1
00000001CDF63680,29,,2,4,3,2
00000001CDF6F620,30,,4,3,4,2
00000001CDF83B60,34,,2,4,3,4
00000001CDF84420,36,,2,4,3,6
00000001CDF90B00,35,,4,3,4,4
00000001CDF9BF00,5,,4,3,4,6
00000001CEDF7000,15,,2,4,3,0
00000001CEE02200,17,,4,3,4,0
00000001CEE19880,16,,2,4,3,5
00000001CEE1A700,8,,2,4,3,3
00000001CEE27980,18,,4,3,4,5
00000001CEE2F5C0,9,,4,3,4,3
00000001CF10BDE0,13,,2,4,3,1
00000001CF117440,14,,4,3,4,1
00000001CFDE9560,30,,2,4,3,2
00000001CFDF57C0,31,,4,3,4,2
00000001CFE09020,35,,2,4,3,4
00000001CFE09F60,5,,2,4,3,6
00000001CFE16220,36,,4,3,4,4
00000001CFE1EE20,6,,4,3,4,6
00000001D0C7EA00,17,,2,4,3,0
00000001D0C8B3A0,19,,4,3,4,0
00000001D0CA01E0,18,,2,4,3,5
00000001D0CA1160,9,,2,4,3,3
00000001D0CAE280,20,,4,3,4,5
00000001D0CB6F80,10,,4,3,4,3
00000001D0F915E0,14,,2,4,3,1
00000001D0F9C680,15,,4,3,4,1
00000001D1C6BA60,31,,2,4,3,2
00000001D1C77180,32,,4,3,4,2
00000001D1C8AB20,36,,2,4,3,4
00000001D1C8AC80,6,,2,4,3,6
00000001D1C9B9C0,7,,4,3,4,6
00000001D1CA0BE0,5,,4,3,4,4
00000001D2B01E00,19,,2,4,3,0
00000001D2B0D2C0,21,,4,3,4,0
00000001D2B23160,10,,2,4,3,3
00000001D2B25080,20,,2,4,3,5
00000001D2B2F920,11,,4,3,4,3
00000001D2B39CE0,22,,4,3,4,5
00000001D2E31800,15,,2,4,3,1
00000001D2E3D2A0,16,,4,3,4,1
00000001D3AF13A0,32,,2,4,3,2
00000001D3AFCB60,33,,4,3,4,2
00000001D3B0F980,7,,2,4,3,6
00000001D3B103A0,5,,2,4,3,4
00000001D3B1C980,8,,4,3,4,6
00000001D3B24FA0,6,,4,3,4,4
00000001D4987460,21,,2,4,3,0
00000001D4992740,23,,4,3,4,0
00000001D49A78C0,11,,2,4,3,3
00000001D49A9820,22,,2,4,3,5
00000001D49B53C0,12,,4,3,4,3
00000001D49BF260,24,,4,3,4,5
00000001D4C98C00,16,,2,4,3,1
00000001D4CA3E40,17,,4,3,4,1
00000001D5974680,33,,2,4,3,2
00000001D5980980,34,,4,3,4,2
00000001D5996840,6,,2,4,3,4
00000001D5998960,8,,2,4,3,6
00000001D59A36C0,7,,4,3,4,4
00000001D59AC140,9,,4,3,4,6
00000001D6811440,23,,2,4,3,0
00000001D6821360,25,,4,3,4,0
00000001D682F020,12,,2,4,3,3
00000001D682EF40,24,,2,4,3,5
00000001D683C560,26,,4,3,4,5
00000001D68456E0,13,,4,3,4,3
00000001D6B1DFA0,17,,2,4,3,1
00000001D6B29D20,18,,4,3,4,1
00000001D77F86E0,34,,2,4,3,2
00000001D7803FE0,35,,4,3,4,2
00000001D78199A0,9,,2,4,3,6
00000001D7819A60,7,,2,4,3,4
00000001D78272A0,10,,4,3,4,6
00000001D782F040,8,,4,3,4,4
00000001D8690060,25,,2,4,3,0
00000001D869B220,27,,4,3,4,0
00000001D86AEAC0,13,,2,4,3,3
00000001D86AF980,26,,2,4,3,5
00000001D86BB860,14,,4,3,4,3
00000001D86C4DC0,28,,4,3,4,5
00000001D89A1820,18,,2,4,3,1
00000001D89ACB60,19,,4,3,4,1
00000001D967C0A0,35,,2,4,3,2
00000001D9689460,36,,4,3,4,2
00000001D96A0AE0,8,,2,4,3,4
00000001D96A20E0,10,,2,4,3,6
00000001D96AE880,9,,4,3,4,4
00000001D96B7AC0,11,,4,3,4,6
00000001DA512C60,27,,2,4,3,0
00000001DA51D4C0,29,,4,3,4,0
00000001DA532F80,28,,2,4,3,5
