clock,pid,pname,event_name,pstate_prev,pstate_next,cpu
0000000281F088A0,16,,2,4,3,6
0000000281F0A4C0,20,,4,3,4,1
0000000281F0F6A0,35,,4,3,4,2
0000000281F127C0,29,,4,3,4,3
0000000281F19E00,10,,4,3,4,5
0000000281F2DA40,12,,4,3,4,4
0000000281F4B900,10,,2,4,3,5
0000000281F50740,17,,4,3,4,6
0000000281F683E0,11,,4,3,4,5
0000000282107EA0,35,,2,4,3,2
0000000282158C00,5,,4,3,4,2
00000002829C4020,29,,2,4,3,3
00000002829E4680,30,,4,3,4,3
00000002829E5940,17,,2,4,3,6
00000002829FBD40,18,,4,3,4,6
00000002832A1220,12,,2,4,3,4
00000002832AFD00,36,,2,4,3,0
00000002832B7700,13,,4,3,4,4
00000002832EA9A0,6,,4,3,4,0
00000002834D7220,20,,2,4,3,1
00000002834E9CC0,21,,4,3,4,1
0000000283DC5D40,11,,2,4,3,5
0000000283DD8320,12,,4,3,4,5
0000000283F884C0,5,,2,4,3,2
0000000283F9A740,7,,4,3,4,2
00000002848472C0,30,,2,4,3,3
00000002848606C0,31,,4,3,4,3
0000000284866BA0,18,,2,4,3,6
0000000284879F60,19,,4,3,4,6
00000002851255A0,13,,2,4,3,4
000000028512DC20,6,,2,4,3,0
0000000285139D80,14,,4,3,4,4
0000000285146D20,8,,4,3,4,0
0000000285359FA0,21,,2,4,3,1
000000028536BB80,22,,4,3,4,1
0000000285C4B260,12,,2,4,3,5
0000000285C5CA20,13,,4,3,4,5
0000000285E0D880,7,,2,4,3,2
0000000285E1EF60,9,,4,3,4,2
00000002866CC280,31,,2,4,3,3
00000002866E5120,32,,4,3,4,3
00000002866EBEA0,19,,2,4,3,6
00000002866FEA80,20,,4,3,4,6
0000000286FAD800,14,,2,4,3,4
0000000286FB0E20,8,,2,4,3,0
0000000286FC2A40,15,,4,3,4,4
0000000286FCFB00,10,,4,3,4,0
00000002871E09A0,22,,2,4,3,1
00000002871F2080,23,,4,3,4,1
0000000287ACC960,13,,2,4,3,5
0000000287ADD3A0,14,,4,3,4,5
0000000287C91460,9,,2,4,3,2
0000000287CA2580,11,,4,3,4,2
000000028854FD00,32,,2,4,3,3
0000000288566C60,33,,4,3,4,3
000000028856F840,20,,2,4,3,6
0000000288581960,21,,4,3,4,6
0000000288E2FE20,15,,2,4,3,4
0000000288E3EA60,10,,2,4,3,0
0000000288E48AA0,16,,4,3,4,4
0000000288E55D00,12,,4,3,4,0
0000000289062BE0,23,,2,4,3,1
0000000289074180,24,,4,3,4,1
0000000289951860,14,,2,4,3,5
