clock,pid,pname,event_name,pstate_prev,pstate_next,cpu
0000000032E35560,4,bufwrite,3,1,3,2
0000000032E67D80,4,bufwrite,2,3,3,0
0000000032E98500,4,bufwrite,4,3,4,1
0000000032EA1360,4,bufwrite,2,4,3,1
0000000032ED16E0,4,bufwrite,4,3,4,3
0000000032EDC920,4,bufwrite,2,4,3,3
0000000032F2F4E0,4,bufwrite,4,3,4,3
0000000032F3BDE0,4,bufwrite,2,4,3,3
0000000032F8CA60,4,bufwrite,4,3,4,0
0000000032F97FE0,4,bufwrite,2,4,3,0
0000000032FC8940,4,bufwrite,4,3,4,3
0000000032FD0A00,4,bufwrite,2,4,3,3
0000000032FFCD60,4,bufwrite,4,3,4,0
000000003300B1E0,4,bufwrite,2,4,3,0
000000003304C4C0,4,bufwrite,4,3,4,3
00000000330557E0,4,bufwrite,2,4,3,3
0000000033088D20,4,bufwrite,4,3,4,1
0000000033093860,4,bufwrite,2,4,3,1
00000000330BC080,4,bufwrite,4,3,4,0
00000000330C9140,4,bufwrite,2,4,3,0
00000000330FCE20,4,bufwrite,4,3,4,1
0000000033109220,4,bufwrite,2,4,3,1
0000000033132B60,4,bufwrite,4,3,4,3
000000003313CD20,4,bufwrite,2,4,3,3
0000000033167AA0,4,bufwrite,4,3,4,0
0000000033171AA0,4,bufwrite,2,4,3,0
00000000331A0F20,4,bufwrite,4,3,4,3
00000000331A9320,4,bufwrite,2,4,3,3
00000000331CDDA0,4,bufwrite,4,3,4,0
00000000331D6DC0,4,bufwrite,2,4,3,0
00000000332035C0,4,bufwrite,4,3,4,3
0000000033210C40,4,bufwrite,2,4,3,3
0000000033239FE0,4,bufwrite,4,3,4,0
0000000033244080,4,bufwrite,2,4,3,0
000000003326C8A0,4,bufwrite,4,3,4,1
000000003327C560,4,bufwrite,2,4,3,1
000000003328D700,5,bufwrite,3,1,3,2
00000000332BB800,5,bufwrite,2,4,3,0
00000000332E0F20,4,bufwrite,4,3,4,1
00000000332E8FE0,4,bufwrite,2,4,3,1
00000000332EAD60,5,bufwrite,4,3,4,3
00000000332F58A0,5,bufwrite,2,4,3,3
0000000033320F00,4,bufwrite,4,3,4,0
000000003332C2E0,4,bufwrite,2,4,3,0
000000003332DE60,5,bufwrite,4,3,4,3
00000000333358C0,5,bufwrite,2,4,3,3
0000000033365320,5,bufwrite,4,3,4,3
000000003336D460,5,bufwrite,2,4,3,3
0000000033399B20,5,bufwrite,4,3,4,3
00000000333A5FA0,5,bufwrite,2,4,3,3
00000000333CE2E0,5,bufwrite,4,3,4,3
00000000333D4F40,5,bufwrite,2,4,3,3
00000000333E8F60,4,bufwrite,4,3,4,0
00000000333F28E0,4,bufwrite,2,4,3,0
0000000033403040,5,bufwrite,4,3,4,1
000000003340AA20,5,bufwrite,2,4,3,1
0000000033416DE0,4,bufwrite,4,3,4,3
000000003341F240,4,bufwrite,2,4,3,3
000000003343E4E0,5,bufwrite,4,3,4,0
0000000033444E00,5,bufwrite,2,4,3,0
0000000033456AC0,4,bufwrite,4,3,4,3
0000000033462C00,4,bufwrite,2,4,3,3
0000000033491920,4,bufwrite,4,3,4,3
00000000334991A0,4,bufwrite,2,4,3,3
00000000334BF520,4,bufwrite,4,3,4,3
00000000334CB360,4,bufwrite,2,4,3,3
00000000334F6AC0,4,bufwrite,4,3,4,3
0000000033503300,4,bufwrite,2,4,3,3
00000000335064E0,5,bufwrite,4,3,4,0
0000000033510AE0,5,bufwrite,2,4,3,0
0000000033533900,4,bufwrite,4,3,4,1
0000000033540220,4,bufwrite,2,4,3,1
00000000335680A0,5,bufwrite,4,3,4,3
000000003356ECE0,4,bufwrite,4,3,4,0
0000000033571540,5,bufwrite,2,4,3,3
0000000033577260,4,bufwrite,2,4,3,0
000000003359E8C0,5,bufwrite,4,3,4,1
00000000335A5AA0,5,bufwrite,2,4,3,1
00000000335A9160,4,bufwrite,4,3,4,3
00000000335B6220,4,bufwrite,2,4,3,3
00000000335C5C80,3,bufwrite,2,4,3,2
00000000335E9FE0,4,bufwrite,4,3,4,3
