clock,pid,pname,event_name,pstate_prev,pstate_next,cpu
00000004B54D7CC0,20,,4,3,4,2
00000004B54DF6A0,23,,4,3,4,6
00000004B54DBAA0,26,,2,4,3,1
00000004B54DFA00,6,,4,3,4,0
00000004B54E3EE0,24,,4,3,4,5
00000004B54D9B60,21,,4,3,4,3
00000004B55138E0,33,,4,3,4,1
00000004B5A9EF80,24,,2,4,3,5
00000004B5ABA380,14,,4,3,4,5
00000004B61140A0,21,,2,4,3,3
00000004B61377C0,11,,4,3,4,3
00000004B6139080,23,,2,4,3,6
00000004B6154840,16,,4,3,4,6
00000004B6176240,20,,2,4,3,2
00000004B618F780,27,,4,3,4,2
00000004B61C1980,4,,1,2,3,0
00000004B61CC500,6,,2,4,3,0
00000004B61E4C20,32,,4,3,4,0
00000004B6449000,33,,2,4,3,1
00000004B6463260,7,,4,3,4,1
00000004B6D290E0,36,,2,4,3,4
00000004B6D45FE0,12,,4,3,4,4
00000004B7923980,14,,2,4,3,5
00000004B793CAE0,31,,4,3,4,5
00000004B7F98900,11,,2,4,3,3
00000004B7FBB860,28,,4,3,4,3
00000004B7FBD600,16,,2,4,3,6
00000004B7FD87C0,17,,4,3,4,6
00000004B7FF9E60,27,,2,4,3,2
00000004B8011E60,8,,4,3,4,2
00000004B8045C60,32,,2,4,3,0
00000004B805D260,5,,4,3,4,0
00000004B82CA1C0,7,,2,4,3,1
00000004B82E3280,19,,4,3,4,1
00000004B8BA9F20,12,,2,4,3,4
00000004B8BC3400,29,,4,3,4,4
00000004B97A9CA0,31,,2,4,3,5
00000004B97C2E80,15,,4,3,4,5
00000004B9E1D620,28,,2,4,3,3
00000004B9E3BEE0,35,,4,3,4,3
00000004B9E40600,17,,2,4,3,6
00000004B9E59E00,30,,4,3,4,6
00000004B9E7E3C0,8,,2,4,3,2
00000004B9E95CC0,34,,4,3,4,2
00000004B9EC8C40,5,,2,4,3,0
00000004B9EE0960,25,,4,3,4,0
00000004BA14FAA0,19,,2,4,3,1
00000004BA1693C0,26,,4,3,4,1
00000004BAA2EC80,29,,2,4,3,4
00000004BAA47B40,13,,4,3,4,4
00000004BB62D0E0,15,,2,4,3,5
00000004BB645C40,24,,4,3,4,5
00000004BBCA1640,35,,2,4,3,3
00000004BBCC4180,10,,4,3,4,3
00000004BBCC6620,30,,2,4,3,6
00000004BBCE0BA0,23,,4,3,4,6
00000004BBD026E0,34,,2,4,3,2
00000004BBD19CC0,9,,4,3,4,2
00000004BBD4C8E0,25,,2,4,3,0
00000004BBD63BA0,18,,4,3,4,0
00000004BBFD3660,26,,2,4,3,1
00000004BBFEB020,4,,4,3,4,1
00000004BBFEF3C0,4,,7,4,2,1
00000004BC004620,33,,4,3,4,1
00000004BC8B26A0,13,,2,4,3,4
00000004BC8CBB20,22,,4,3,4,4
00000004BD4B1760,24,,2,4,3,5
00000004BD4C9F20,14,,4,3,4,5
00000004BDB26340,10,,2,4,3,3
00000004BDB481C0,21,,4,3,4,3
00000004BDB49560,23,,2,4,3,6
00000004BDB643A0,16,,4,3,4,6
00000004BDB86B40,9,,2,4,3,2
00000004BDB9E820,20,,4,3,4,2
00000004BDBCC300,4,,1,2,3,0
00000004BDBD6CA0,18,,2,4,3,0
00000004BDC12140,6,,4,3,4,0
00000004BDE59100,33,,2,4,3,1
00000004BDE71020,7,,4,3,4,1
00000004BE737300,22,,2,4,3,4
00000004BE7524E0,36,,4,3,4,4
00000004BF335440,14,,2,4,3,5
00000004BF34D440,31,,4,3,4,5
00000004BF9A8AC0,21,,2,4,3,3
00000004BF9C8780,11,,4,3,4,3
00000004BF9CDC80,16,,2,4,3,6
00000004BF9E7400,17,,4,3,4,6
00000004BFA0C620,20,,2,4,3,2
00000004BFA24880,27,,4,3,4,2
00000004BFA5CF80,6,,2,4,3,0
00000004BFA73920,32,,4,3,4,0
00000004BFCDCCE0,7,,2,4,3,1
00000004BFCF4500,19,,4,3,4,1
00000004C05BAF40,36,,2,4,3,4
00000004C05D5680,12,,4,3,4,4
00000004C11B8880,31,,2,4,3,5
00000004C11D0660,15,,4,3,4,5
00000004C182CCE0,11,,2,4,3,3
00000004C184D640,28,,4,3,4,3
00000004C18533E0,17,,2,4,3,6
00000004C186BC80,30,,4,3,4,6
00000004C1890540,27,,2,4,3,2
00000004C18A74C0,8,,4,3,4,2
00000004C18DAAE0,32,,2,4,3,0
00000004C18F10C0,5,,4,3,4,0
00000004C1B61960,19,,2,4,3,1
00000004C1B795A0,26,,4,3,4,1
00000004C243EAC0,12,,2,4,3,4
00000004C24573C0,29,,4,3,4,4
00000004C303E5E0,15,,2,4,3,5
00000004C30570E0,24,,4,3,4,5
00000004C36B19A0,28,,2,4,3,3
00000004C36D3C60,35,,4,3,4,3
00000004C36D68A0,30,,2,4,3,6
00000004C36EF5A0,23,,4,3,4,6
00000004C37131C0,8,,2,4,3,2
00000004C3729FE0,34,,4,3,4,2
00000004C375D660,5,,2,4,3,0
00000004C3773A20,25,,4,3,4,0
00000004C39E5CC0,26,,2,4,3,1
00000004C39FC580,4,,4,3,4,1
00000004C3A00360,4,,7,4,2,1
00000004C3A14D40,33,,4,3,4,1
00000004C42C18A0,29,,2,4,3,4
00000004C42D9380,13,,4,3,4,4
00000004C4EC7120,24,,2,4,3,5
00000004C4EE04A0,14,,4,3,4,5
00000004C5537700,35,,2,4,3,3
00000004C555A160,10,,4,3,4,3
00000004C555B440,23,,2,4,3,6
00000004C5574E60,16,,4,3,4,6
00000004C5597EE0,34,,2,4,3,2
00000004C55AE900,9,,4,3,4,2
00000004C55DD7A0,4,,1,2,3,0
00000004C55E7D60,25,,2,4,3,0
00000004C55FDC00,18,,4,3,4,0
00000004C586AA00,33,,2,4,3,1
00000004C5882700,7,,4,3,4,1
00000004C6146C20,13,,2,4,3,4
00000004C615E0A0,22,,4,3,4,4
00000004C6D45DE0,14,,2,4,3,5
00000004C6D5DA00,31,,4,3,4,5
00000004C73BA980,10,,2,4,3,3
00000004C73DA1C0,21,,4,3,4,3
00000004C73DEE00,16,,2,4,3,6
00000004C73F8460,17,,4,3,4,6
00000004C741CC00,9,,2,4,3,2
00000004C74347A0,20,,4,3,4,2
00000004C7466AA0,18,,2,4,3,0
00000004C749ED20,6,,4,3,4,0
