clock,pid,pname,event_name,pstate_prev,pstate_next,cpu
00000001BB19FFE0,15,,4,3,4,4
00000001BB19F2E0,24,,2,4,3,0
00000001BB19FEC0,31,,4,3,4,6
00000001BB1A2940,27,,2,4,3,2
00000001BB1A5040,8,,4,3,4,1
00000001BB1A0700,35,,4,3,4,3
00000001BB1C98A0,19,,4,3,4,0
00000001BB1D0300,18,,4,3,4,2
00000001BB216DE0,36,,2,4,3,5
00000001BB222300,19,,2,4,3,0
00000001BB235E20,16,,4,3,4,5
00000001BB236B40,7,,4,3,4,0
00000001BB253B00,35,,2,4,3,3
00000001BB265160,9,,4,3,4,3
00000001BB480160,8,,2,4,3,1
00000001BB492EE0,21,,4,3,4,1
00000001BBEEEB20,18,,2,4,3,2
00000001BBF072E0,13,,4,3,4,2
00000001BBF16380,15,,2,4,3,4
00000001BBF16D60,31,,2,4,3,6
00000001BBF29120,22,,4,3,4,4
00000001BBF2BDA0,17,,4,3,4,6
00000001BD09DC40,16,,2,4,3,5
00000001BD09FA20,7,,2,4,3,0
00000001BD0B1FA0,23,,4,3,4,5
00000001BD0B3900,32,,4,3,4,0
00000001BD0D5080,9,,2,4,3,3
00000001BD0E4BE0,14,,4,3,4,3
00000001BD304320,21,,2,4,3,1
00000001BD314460,26,,4,3,4,1
00000001BDD6F8E0,13,,2,4,3,2
00000001BDD7EB20,34,,4,3,4,2
00000001BDD92400,22,,2,4,3,4
00000001BDD93040,17,,2,4,3,6
00000001BDDA4A40,6,,4,3,4,4
00000001BDDA8500,10,,4,3,4,6
00000001BEF215A0,23,,2,4,3,5
00000001BEF29320,32,,2,4,3,0
00000001BEF36480,29,,4,3,4,5
00000001BEF3A460,11,,4,3,4,0
00000001BEF5D600,14,,2,4,3,3
00000001BEF6CFE0,20,,4,3,4,3
00000001BF189480,26,,2,4,3,1
00000001BF199580,33,,4,3,4,1
00000001BFBF5660,34,,2,4,3,2
00000001BFC08A40,5,,4,3,4,2
00000001BFC19020,10,,2,4,3,6
00000001BFC198E0,6,,2,4,3,4
00000001BFC2C0E0,25,,4,3,4,6
00000001BFC2D340,30,,4,3,4,4
00000001C0DA5DE0,29,,2,4,3,5
00000001C0DA8080,11,,2,4,3,0
00000001C0DBA440,36,,4,3,4,5
00000001C0DBA780,24,,4,3,4,0
00000001C0DDFA80,20,,2,4,3,3
00000001C0DEEF80,28,,4,3,4,3
00000001C100D2A0,33,,2,4,3,1
00000001C101C740,12,,4,3,4,1
00000001C1A7A8C0,5,,2,4,3,2
00000001C1A8E080,27,,4,3,4,2
00000001C1A9DFE0,25,,2,4,3,6
00000001C1A9F1A0,30,,2,4,3,4
00000001C1AB0C60,31,,4,3,4,6
00000001C1AB3A80,15,,4,3,4,4
00000001C2C29180,36,,2,4,3,5
00000001C2C2C060,24,,2,4,3,0
00000001C2C3CD80,16,,4,3,4,5
00000001C2C3E7C0,19,,4,3,4,0
00000001C2C65160,28,,2,4,3,3
00000001C2C743A0,35,,4,3,4,3
00000001C2E91280,12,,2,4,3,1
00000001C2EA0560,8,,4,3,4,1
00000001C38FD4E0,27,,2,4,3,2
00000001C3911380,18,,4,3,4,2
00000001C39208E0,31,,2,4,3,6
00000001C3922640,15,,2,4,3,4
00000001C3932700,17,,4,3,4,6
00000001C3935A00,22,,4,3,4,4
00000001C4AAF4A0,16,,2,4,3,5
00000001C4AB0F60,19,,2,4,3,0
00000001C4AC26A0,23,,4,3,4,5
00000001C4AC3260,7,,4,3,4,0
