clock,pid,pname,event_name,pstate_prev,pstate_next,cpu
0000000162BDB580,35,bufwrite,2,4,3,0
0000000162C1C680,31,bufwrite,4,3,4,6
0000000162C21020,25,bufwrite,2,4,3,3
0000000162C3F920,31,bufwrite,2,4,3,6
0000000162CF9220,24,bufwrite,4,3,4,4
0000000162D1DFA0,24,bufwrite,2,4,3,4
0000000162D220A0,26,bufwrite,4,3,4,3
0000000162D45E60,26,bufwrite,2,4,3,3
0000000162D493A0,28,bufwrite,4,3,4,7
0000000162D6AC40,28,bufwrite,2,4,3,7
0000000162DF9820,3,bufwrite,7,4,2,1
0000000162E169E0,5,bufwrite,4,3,4,1
0000000162E2D060,6,bufwrite,4,3,4,0
0000000162E35B80,5,bufwrite,2,4,3,1
0000000162E4E140,6,bufwrite,2,4,3,0
0000000162E51F20,25,bufwrite,4,3,4,4
0000000162E77980,7,bufwrite,4,3,4,0
0000000162E7EF20,25,bufwrite,2,4,3,4
0000000162E97700,7,bufwrite,2,4,3,0
0000000162E9BD80,32,bufwrite,4,3,4,6
0000000162EBBF00,32,bufwrite,2,4,3,6
0000000162EBF780,27,bufwrite,4,3,4,3
0000000162EDD820,27,bufwrite,2,4,3,3
0000000162EE3160,8,bufwrite,4,3,4,0
0000000162F00740,8,bufwrite,2,4,3,0
0000000162F05B80,29,bufwrite,4,3,4,3
0000000162F1E760,29,bufwrite,2,4,3,3
0000000162F25DE0,26,bufwrite,4,3,4,4
0000000162F402C0,26,bufwrite,2,4,3,4
0000000162F43460,9,bufwrite,4,3,4,0
0000000162F5A400,9,bufwrite,2,4,3,0
0000000162F61AE0,33,bufwrite,4,3,4,6
0000000162F7B200,33,bufwrite,2,4,3,6
0000000162F7E840,10,bufwrite,4,3,4,0
0000000162F96100,10,bufwrite,2,4,3,0
0000000162F9D3A0,34,bufwrite,4,3,4,6
0000000162FB5D20,34,bufwrite,2,4,3,6
0000000162FB97A0,30,bufwrite,4,3,4,3
0000000162FD17A0,30,bufwrite,2,4,3,3
0000000162FDA240,6,bufwrite,4,3,4,2
0000000162FF97C0,11,bufwrite,4,3,4,0
00000001630003C0,6,bufwrite,2,4,3,2
0000000163013DE0,11,bufwrite,2,4,3,0
00000001630172A0,27,bufwrite,4,3,4,4
000000016302FE80,27,bufwrite,2,4,3,4
0000000163038AC0,7,bufwrite,4,3,4,2
0000000163056280,35,bufwrite,4,3,4,6
0000000163059360,7,bufwrite,2,4,3,2
0000000163073980,35,bufwrite,2,4,3,6
00000001630766C0,29,bufwrite,4,3,4,4
0000000163090E00,29,bufwrite,2,4,3,4
0000000163099120,8,bufwrite,4,3,4,2
00000001630B4D60,31,bufwrite,4,3,4,4
00000001630B79E0,8,bufwrite,2,4,3,2
00000001630CFAE0,31,bufwrite,2,4,3,4
00000001630D27E0,32,bufwrite,4,3,4,3
00000001630ECC80,32,bufwrite,2,4,3,3
00000001630F4080,9,bufwrite,4,3,4,2
000000016310F200,9,bufwrite,2,4,3,2
00000001631AC4E0,33,bufwrite,4,3,4,4
00000001631C73C0,33,bufwrite,2,4,3,4
00000001631CA380,6,bufwrite,4,3,4,1
00000001631DB7E0,6,bufwrite,2,4,3,1
00000001631EADE0,17,bufwrite,4,3,4,5
000000016320E280,7,bufwrite,4,3,4,1
00000001632113C0,17,bufwrite,2,4,3,5
0000000163223B80,7,bufwrite,2,4,3,1
000000016322C0C0,10,bufwrite,4,3,4,2
00000001632446C0,10,bufwrite,2,4,3,2
000000016324DF60,18,bufwrite,4,3,4,5
000000016326B140,34,bufwrite,4,3,4,4
000000016326F2C0,18,bufwrite,2,4,3,5
