clock,pid,pname,event_name,pstate_prev,pstate_next,cpu
00000001B5C637E0,4,,0,0,1,2
00000001B60DD460,4,,3,1,3,2
00000001B6B00BE0,4,,2,4,3,0
00000001B6D10380,4,,4,3,4,6
00000001B72FC000,4,,2,4,3,6
00000001B742C140,4,,4,3,4,1
00000001B88A50E0,4,,2,4,3,1
00000001B8A0D460,4,,4,3,4,4
00000001B8CC6860,4,,7,4,2,4
00000001B8EB50C0,4,,1,2,3,6
00000001B8F02680,4,,4,3,4,1
00000001B95ABE00,4,,7,4,2,1
00000001B9817420,4,,1,2,3,6
00000001B9856BC0,4,,4,3,4,1
00000001B99C9BA0,4,,7,4,2,1
00000001B9D7A340,4,,1,2,3,6
00000001B9DB9980,4,,4,3,4,2
00000001B9F5CD60,4,,7,4,2,2
00000001BA2E1E40,4,,1,2,3,6
00000001BA320300,4,,4,3,4,1
00000001BA421A00,4,,7,4,2,1
00000001BA5B03A0,4,,1,2,3,6
00000001BA5EFAE0,4,,4,3,4,2
00000001BA792F20,4,,7,4,2,2
00000001BAAA5FA0,4,,1,2,3,6
00000001BAAE5C40,4,,4,3,4,0
00000001BABB1360,4,,7,4,2,0
00000001BAE8B280,4,,1,2,3,6
00000001BAECA660,4,,4,3,4,1
00000001BB195B20,4,,7,4,2,1
00000001BB6A33E0,4,,1,2,3,6
00000001BB6F0DE0,4,,4,3,4,5
00000001BB9462E0,4,,7,4,2,5
00000001BBB580E0,4,,1,2,3,6
00000001BBB96A60,4,,4,3,4,1
00000001BBFC52E0,4,,7,4,2,1
00000001BC66E160,4,,1,2,3,6
00000001BC6AC7E0,4,,4,3,4,2
00000001BC8BDD80,4,,7,4,2,2
00000001BCA5D0A0,4,,1,2,3,6
00000001BCA9C2E0,4,,4,3,4,2
00000001BCD12480,4,,2,4,3,2
00000001BD069660,4,,4,3,4,5
00000001BE205360,4,,2,4,3,5
00000001BE520000,4,,4,3,4,6
00000001BEB28420,4,,2,4,3,6
00000001BED358A0,4,,4,3,4,4
00000001C0A55EA0,4,,2,4,3,4
00000001C0D43640,4,,4,3,4,3
00000001C201B840,4,,2,4,3,3
00000001C249FDE0,4,,4,3,4,6
00000001C281F280,4,,2,4,3,6
00000001C28E99A0,4,,4,3,4,1
00000001C417FD00,4,,2,4,3,1
00000001C473C640,4,,4,3,4,4
00000001C474C560,4,,2,4,3,4
00000001C4B28F40,4,,4,3,4,5
00000001C5BA4A80,4,,2,4,3,5
00000001C5CD7580,4,,4,3,4,2
00000001C651D620,4,,2,4,3,2
00000001C67F9880,4,,4,3,4,4
00000001C6808DE0,4,,2,4,3,4
00000001C696E440,4,,4,3,4,1
00000001C72E7800,4,,7,4,2,1
00000001C74E3F80,4,,1,2,3,6
00000001C7528320,4,,4,3,4,5
00000001C7A09800,4,,2,4,3,5
00000001C7B6EEE0,4,,4,3,4,2
00000001C84857E0,4,,2,4,3,2
00000001C85CA9A0,4,,4,3,4,5
00000001C98ED040,4,,2,4,3,5
00000001C9A89280,4,,4,3,4,6
00000001CA20C540,4,,2,4,3,6
00000001CA58EA80,4,,4,3,4,1
00000001CBA85740,4,,2,4,3,1
00000001CBB82680,4,,4,3,4,5
00000001CD707100,4,,2,4,3,5
00000001CD86DA00,4,,4,3,4,6
00000001CDFE8AE0,4,,2,4,3,6
00000001CE2CC2C0,4,,4,3,4,4
00000001CFDE5D20,4,,2,4,3,4
00000001CFEE7240,4,,4,3,4,2
00000001CFEF68C0,4,,2,4,3,2
00000001D005D0A0,4,,4,3,4,4
00000001D094FEE0,4,,7,4,2,4
00000001D0C79D60,4,,1,2,3,6
00000001D0CBC920,4,,4,3,4,1
00000001D0CDC880,4,,7,4,2,1
00000001D0E24860,4,,1,2,3,6
00000001D0E675A0,4,,4,3,4,4
00000001D1231E40,4,,7,4,2,4
00000001D17DE260,4,,1,2,3,6
00000001D1853680,4,,4,3,4,3
00000001D1876A80,4,,7,4,2,3
00000001D1BC8C80,4,,1,2,3,6
00000001D1C16A00,4,,2,4,3,2
00000001D2024940,4,,4,3,4,0
00000001D202C040,4,,4,3,4,0
00000001D2436DA0,4,,7,4,2,0
00000001D27062A0,4,,1,2,3,6
00000001D2749B80,4,,4,3,4,5
00000001D27663A0,4,,7,4,2,5
00000001D2986E80,4,,1,2,3,6
00000001D29C9120,4,,4,3,4,0
00000001D2B44920,4,,7,4,2,0
00000001D2D34980,4,,1,2,3,6
00000001D2D769C0,4,,4,3,4,0
00000001D3304260,4,,2,4,3,0
00000001D33D32C0,4,,4,3,4,6
00000001D3400140,4,,7,4,2,6
00000001D35412C0,4,,1,2,3,6
00000001D35842C0,4,,4,3,4,5
00000001D3AE34E0,4,,7,4,2,5
00000001D4057220,4,,1,2,3,6
00000001D409B380,4,,4,3,4,4
00000001D455A320,4,,7,4,2,4
00000001D4703060,4,,1,2,3,6
00000001D4745660,4,,4,3,4,1
00000001D4B3E180,4,,7,4,2,1
00000001D4D2E840,4,,1,2,3,6
00000001D4D71BE0,4,,4,3,4,3
00000001D539FDA0,4,,2,4,3,3
00000001D5616560,4,,4,3,4,4
00000001D5951360,4,,7,4,2,4
00000001D5BA7660,4,,1,2,3,6
00000001D5BEB980,4,,4,3,4,1
00000001D5D2B220,4,,7,4,2,1
00000001D5F41080,4,,1,2,3,6
00000001D5F836C0,4,,4,3,4,0
00000001D61F08E0,4,,7,4,2,0
00000001D6525560,4,,1,2,3,6
00000001D6568260,4,,4,3,4,2
00000001D65846A0,4,,7,4,2,2
00000001D6808E80,4,,1,2,3,6
00000001D684AEC0,4,,4,3,4,2
00000001D6B5DF40,4,,7,4,2,2
00000001D6D12A60,4,,1,2,3,6
00000001D6D55880,4,,4,3,4,5
00000001D6EF8780,4,,2,4,3,5
00000001D70F80E0,4,,4,3,4,2
00000001D711AE40,4,,7,4,2,2
00000001D76AEAC0,4,,1,2,3,6
