clock,pid,pname,event_name,pstate_prev,pstate_next,cpu
00000001B53E65C0,4,,0,0,1,1
00000001B5852440,4,,3,1,3,1
00000001B5918800,4,,4,3,4,4
00000001B5C3B640,4,,2,4,3,4
00000001B5DA73E0,4,,4,3,4,1
00000001B69575A0,4,,7,4,2,1
00000001B6AB1DA0,4,,1,2,3,6
00000001B6ACF160,4,,4,3,4,2
00000001B70A9A40,4,,7,4,2,2
00000001B719FE40,4,,1,2,3,6
00000001B71BF4A0,4,,4,3,4,1
00000001B7270DE0,4,,7,4,2,1
00000001B73A8C80,4,,1,2,3,6
00000001B73C2C20,4,,4,3,4,1
00000001B7481600,4,,7,4,2,1
00000001B74CCDE0,4,,1,2,3,6
00000001B74EA120,4,,4,3,4,3
00000001B7580A40,4,,7,4,2,3
00000001B7627A20,4,,1,2,3,6
00000001B7644180,4,,4,3,4,4
00000001B771B9C0,4,,7,4,2,4
00000001B77FB7E0,4,,1,2,3,6
00000001B7816E40,4,,4,3,4,3
00000001B78A6D20,4,,7,4,2,3
00000001B79A9020,4,,1,2,3,6
00000001B79C3D80,4,,4,3,4,1
00000001B7A19560,4,,7,4,2,1
00000001B7AF0AE0,4,,1,2,3,6
00000001B7B0C160,4,,4,3,4,1
00000001B7B5EDE0,4,,7,4,2,1
00000001B7BEBF00,4,,1,2,3,6
00000001B7C07080,4,,4,3,4,4
00000001B7CB2880,4,,7,4,2,4
00000001B7E21960,4,,1,2,3,6
00000001B7E3CFE0,4,,4,3,4,4
00000001B7E8FFC0,4,,7,4,2,4
00000001B80CCE80,4,,1,2,3,6
00000001B80EAC40,4,,4,3,4,5
00000001B85A93E0,4,,2,4,3,5
00000001B8611D00,4,,4,3,4,0
00000001B8B1FC40,4,,2,4,3,0
00000001B8B99E40,4,,4,3,4,5
00000001BA4320C0,4,,2,4,3,5
00000001BA4AC600,4,,4,3,4,1
00000001BAB9AD80,4,,2,4,3,1
00000001BAC7B060,4,,4,3,4,6
00000001BB5AE8A0,4,,7,4,2,6
00000001BB60B120,4,,1,2,3,6
00000001BB628640,4,,4,3,4,1
00000001BC9ED060,4,,2,4,3,1
00000001BCB076C0,4,,4,3,4,2
00000001BD6514C0,4,,2,4,3,2
00000001BD6C62A0,4,,4,3,4,1
00000001BDF04C20,4,,7,4,2,1
00000001BDFFA240,4,,1,2,3,6
00000001BE015D00,4,,4,3,4,0
00000001BE036EE0,4,,7,4,2,0
00000001BE1E71C0,4,,1,2,3,6
00000001BE202940,4,,4,3,4,0
00000001BE2ED6C0,4,,7,4,2,0
00000001BE3D00C0,4,,1,2,3,6
00000001BE3ED840,4,,4,3,4,5
00000001BE415360,4,,7,4,2,5
00000001BE4B1320,4,,1,2,3,6
00000001BE4CDDE0,4,,4,3,4,3
00000001BE63AA00,4,,2,4,3,3
00000001BE6E3E60,4,,4,3,4,6
00000001BE706520,4,,7,4,2,6
00000001BE7C75C0,4,,1,2,3,6
00000001BE7E3F60,4,,4,3,4,4
00000001BE7FE7E0,4,,7,4,2,4
00000001BEA15420,4,,1,2,3,6
00000001BEA30E60,4,,4,3,4,2
00000001BEB31C00,4,,7,4,2,2
00000001BEC1A280,4,,1,2,3,6
00000001BEC35040,4,,4,3,4,0
00000001BED7F8C0,4,,7,4,2,0
00000001BEF06D00,4,,1,2,3,6
00000001BEF220C0,4,,4,3,4,3
00000001BF0A37E0,4,,7,4,2,3
00000001BF1F8560,4,,1,2,3,6
00000001BF213A00,4,,4,3,4,5
00000001BF375CE0,4,,7,4,2,5
00000001BF4D9800,4,,1,2,3,6
00000001BF4F3AC0,4,,4,3,4,4
00000001BF5021C0,4,,2,4,3,4
00000001BF5F9980,4,,4,3,4,2
00000001BF723420,4,,7,4,2,2
00000001BF7F57C0,4,,1,2,3,6
00000001BF8116C0,4,,4,3,4,5
