clock,pid,pname,event_name,pstate_prev,pstate_next,cpu
000000003A33FA00,3,,0,0,1,2
000000003A9B3480,3,,3,1,3,2
000000003B1CD660,3,,7,4,2,5
000000003B21BE40,3,,1,2,3,7
000000003B235540,3,,4,3,4,5
000000003B89F5A0,3,,7,4,2,5
000000003B8B6700,3,,1,2,3,7
000000003B8CA720,3,,4,3,4,2
000000003B949E00,3,,7,4,2,2
000000003B961EC0,3,,1,2,3,7
000000003B975720,3,,4,3,4,4
000000003B9EA9C0,3,,7,4,2,4
000000003BA3C0A0,3,,1,2,3,7
000000003BA4EDA0,3,,4,3,4,2
000000003BAB7F20,3,,7,4,2,2
000000003BB08F60,3,,1,2,3,7
000000003BB1BA80,3,,4,3,4,2
000000003BB907A0,3,,7,4,2,2
000000003BBAE140,3,,1,2,3,7
000000003BBC2A20,3,,4,3,4,3
000000003BC347C0,3,,7,4,2,3
000000003BC86F40,3,,1,2,3,7
000000003BC9A160,3,,4,3,4,4
000000003BD0DBA0,3,,7,4,2,4
000000003BD28EA0,3,,1,2,3,7
000000003BD3CD40,3,,4,3,4,3
000000003BD9BCE0,3,,7,4,2,3
000000003BDEAA60,3,,1,2,3,7
000000003BDFFB20,3,,4,3,4,6
000000003BEABD40,3,,7,4,2,6
000000003BEEAFC0,3,,1,2,3,7
000000003BEFDF20,3,,4,3,4,3
000000003BF75080,3,,7,4,2,3
000000003BF92080,3,,1,2,3,7
000000003BFA3FA0,3,,4,3,4,2
000000003C405DC0,3,,2,4,3,2
000000003C4303A0,3,,4,3,4,6
000000003C686B40,3,,2,4,3,6
000000003C6BA9A0,3,,4,3,4,7
000000003C730940,3,,2,4,3,7
000000003C77AE40,3,,4,3,4,6
000000003D65B6A0,3,,7,4,2,6
000000003D67A020,3,,1,2,3,7
000000003D68E040,3,,4,3,4,1
000000003DFE1AA0,3,,2,4,3,1
000000003E0190C0,3,,4,3,4,7
000000003E5D2460,3,,2,4,3,7
000000003E60FB20,3,,4,3,4,6
000000003E99A0E0,3,,7,4,2,6
000000003E9E2140,3,,1,2,3,7
000000003E9F6360,3,,4,3,4,2
000000003EA5C320,3,,7,4,2,2
000000003EA79BA0,3,,1,2,3,7
000000003EA8D300,3,,4,3,4,1
000000003EB145C0,3,,7,4,2,1
000000003EB5CB80,3,,1,2,3,7
000000003EB6FFE0,3,,4,3,4,1
000000003EBEE2E0,3,,7,4,2,1
000000003EC0F5C0,3,,1,2,3,7
000000003EC23860,3,,4,3,4,3
000000003ECAE4C0,3,,7,4,2,3
000000003ECEEE40,3,,1,2,3,7
000000003ED01080,3,,4,3,4,1
000000003ED5D320,3,,7,4,2,1
000000003ED8E440,3,,1,2,3,7
000000003EDA24A0,3,,4,3,4,0
000000003EE323E0,3,,7,4,2,0
000000003EE62780,3,,1,2,3,7
000000003EE765E0,3,,4,3,4,5
000000003EF60EA0,3,,7,4,2,5
000000003EF7EA40,3,,1,2,3,7
000000003EF926C0,3,,4,3,4,6
000000003F05D260,3,,7,4,2,6
000000003F0731E0,3,,1,2,3,7
000000003F0861A0,3,,4,3,4,2
000000003F156100,3,,7,4,2,2
000000003F17F0C0,3,,1,2,3,7
000000003F1925E0,3,,4,3,4,6
000000003F250280,3,,7,4,2,6
000000003F28D120,3,,1,2,3,7
000000003F2A1BE0,3,,4,3,4,6
000000003F440360,3,,7,4,2,6
000000003F47C5A0,3,,1,2,3,7
000000003F48EB40,3,,4,3,4,1
000000003F53B820,3,,7,4,2,1
000000003F5814E0,3,,1,2,3,7
000000003F5956E0,3,,4,3,4,3
000000003F62E140,3,,7,4,2,3
000000003F68DBA0,3,,1,2,3,7
000000003F6A3A40,3,,4,3,4,4
000000003F7274A0,3,,7,4,2,4
000000003F74ABE0,3,,1,2,3,7
000000003F75E9E0,3,,4,3,4,6
000000003F83C1A0,3,,7,4,2,6
000000003F85D180,3,,1,2,3,7
000000003F871500,3,,4,3,4,6
000000003F91FBE0,3,,7,4,2,6
000000003F94EA40,3,,1,2,3,7
000000003F961480,3,,4,3,4,1
000000003FA1EFC0,3,,7,4,2,1
000000003FA62280,3,,1,2,3,7
000000003FA73D20,3,,4,3,4,1
000000003FB3F540,3,,7,4,2,1
000000003FB623A0,3,,1,2,3,7
000000003FB75600,3,,4,3,4,2
000000003FC12500,3,,7,4,2,2
000000003FC7DD40,3,,1,2,3,7
000000003FC905A0,3,,4,3,4,1
000000003FD9D280,3,,7,4,2,1
000000003FDB4380,3,,1,2,3,7
000000003FDC87E0,3,,4,3,4,6
000000003FF1E880,3,,7,4,2,6
000000003FF30CE0,3,,1,2,3,7
000000003FF435E0,3,,4,3,4,2
00000000400053A0,3,,7,4,2,2
000000004001EB00,3,,1,2,3,7
0000000040032CA0,3,,4,3,4,5
000000004013CC60,3,,7,4,2,5
0000000040172700,3,,1,2,3,7
00000000401861A0,3,,4,3,4,5
00000000402515C0,3,,7,4,2,5
000000004028D400,3,,1,2,3,7
00000000402A05A0,3,,4,3,4,2
000000004037F560,3,,7,4,2,2
00000000403980A0,3,,1,2,3,7
00000000403ABC80,3,,4,3,4,6
00000000403C6B20,3,,2,4,3,6
000000004041CAE0,3,,4,3,4,2
0000000040503960,3,,7,4,2,2
000000004052C6E0,3,,1,2,3,7
000000004053F7C0,3,,4,3,4,0
0000000040604D80,3,,7,4,2,0
000000004062E3A0,3,,1,2,3,7
000000004063FFE0,3,,4,3,4,0
00000000406F5920,3,,7,4,2,0
00000000407121E0,3,,1,2,3,7
0000000040724580,3,,4,3,4,1
0000000040819A80,3,,7,4,2,1
0000000040873FA0,3,,1,2,3,7
0000000040885BC0,3,,4,3,4,2
00000000409B55E0,3,,7,4,2,2
00000000409D0280,3,,1,2,3,7
00000000409E2D80,3,,4,3,4,1
0000000040AA3660,3,,7,4,2,1
0000000040AFDBC0,3,,1,2,3,7
0000000040B10B40,3,,4,3,4,5
0000000040C01D60,3,,7,4,2,5
0000000040C21680,3,,1,2,3,7
0000000040C35560,3,,4,3,4,4
0000000040CE6C20,3,,7,4,2,4
0000000040D39720,3,,1,2,3,7
0000000040D4D100,3,,4,3,4,5
0000000040E0DCE0,3,,7,4,2,5
0000000040E29580,3,,1,2,3,7
0000000040E3C580,3,,4,3,4,1
0000000040F02200,3,,7,4,2,1
0000000040F717E0,3,,1,2,3,7
0000000040F85460,3,,4,3,4,5
0000000041054D40,3,,7,4,2,5
0000000041082220,3,,1,2,3,7
0000000041094AE0,3,,4,3,4,5
00000000411676E0,3,,7,4,2,5
0000000041182E20,3,,1,2,3,7
00000000411964E0,3,,4,3,4,2
00000000412A78A0,3,,7,4,2,2
00000000412F9220,3,,1,2,3,7
000000004130B6C0,3,,4,3,4,0
000000004141D5A0,3,,7,4,2,0
000000004143FA80,3,,1,2,3,7
0000000041453DA0,3,,4,3,4,6
00000000415248A0,3,,7,4,2,6
000000004153BB00,3,,1,2,3,7
000000004154E880,3,,4,3,4,4
0000000041605D80,3,,7,4,2,4
000000004162BAE0,3,,1,2,3,7
000000004163F880,3,,4,3,4,5
0000000041709860,3,,7,4,2,5
00000000417183E0,3,,1,2,3,7
0000000041729F20,3,,4,3,4,0
00000000417DF280,3,,7,4,2,0
0000000041809500,3,,1,2,3,7
000000004181B9A0,3,,4,3,4,2
00000000418F1100,3,,7,4,2,2
00000000418FFA40,3,,1,2,3,7
00000000419131C0,3,,4,3,4,5
00000000419CDC00,3,,7,4,2,5
0000000041A07AE0,3,,1,2,3,7
0000000041A19FE0,3,,4,3,4,1
0000000041ABC400,3,,7,4,2,1
0000000041ADDC00,3,,1,2,3,7
0000000041AF2620,3,,4,3,4,3
0000000041BF07C0,3,,7,4,2,3
0000000041C05E20,3,,1,2,3,7
0000000041C18380,3,,4,3,4,0
0000000041D34200,3,,7,4,2,0
0000000041D78C00,3,,1,2,3,7
0000000041D8C240,3,,4,3,4,4
0000000041E54E80,3,,7,4,2,4
0000000041E6BC20,3,,1,2,3,7
0000000041E7E280,3,,4,3,4,1
0000000041F2B1E0,3,,7,4,2,1
0000000041F60700,3,,1,2,3,7
0000000041F78D00,3,,4,3,4,4
0000000042085B20,3,,7,4,2,4
0000000042094440,3,,1,2,3,7
00000000420ABB20,3,,4,3,4,4
00000000420C6980,3,,2,4,3,4
00000000420FE740,3,,4,3,4,5
000000004218B960,3,,7,4,2,5
00000000421C9DC0,3,,1,2,3,7
00000000421DC320,3,,4,3,4,2
000000004229FDA0,3,,7,4,2,2
00000000422B0160,3,,1,2,3,7
00000000422C5E00,3,,4,3,4,3
0000000042389CE0,3,,7,4,2,3
0000000042398FE0,3,,1,2,3,7
00000000423AB5A0,3,,4,3,4,4
000000004246AE00,3,,7,4,2,4
0000000042496A80,3,,1,2,3,7
00000000424AAC40,3,,4,3,4,6
000000004258C1E0,3,,7,4,2,6
00000000425A30A0,3,,1,2,3,7
00000000425B7220,3,,4,3,4,3
0000000042705100,3,,7,4,2,3
000000004272E820,3,,1,2,3,7
00000000427403A0,3,,4,3,4,0
00000000427E4720,3,,7,4,2,0
000000004281B900,3,,1,2,3,7
000000004282F100,3,,4,3,4,6
0000000042902680,3,,7,4,2,6
0000000042928580,3,,1,2,3,7
000000004293BA20,3,,4,3,4,3
0000000042A0C280,3,,7,4,2,3
0000000042A2EB60,3,,1,2,3,7
0000000042A412C0,3,,4,3,4,1
0000000042AE51A0,3,,7,4,2,1
0000000042AF6800,3,,1,2,3,7
0000000042B08400,3,,4,3,4,0
0000000042BD8520,3,,7,4,2,0
0000000042BF1A60,3,,1,2,3,7
0000000042C05860,3,,4,3,4,6
0000000042CBFF00,3,,7,4,2,6
0000000042CD3320,3,,1,2,3,7
0000000042CE5460,3,,4,3,4,0
0000000042D81E20,3,,7,4,2,0
0000000042DA37A0,3,,1,2,3,7
0000000042DB5780,3,,4,3,4,0
0000000042E90A80,3,,7,4,2,0
0000000042EA9B20,3,,1,2,3,7
0000000042EBC000,3,,4,3,4,1
0000000042FEEA20,3,,7,4,2,1
000000004304D7A0,3,,1,2,3,7
000000004305FBC0,3,,4,3,4,0
000000004310CAE0,3,,7,4,2,0
000000004312DF20,3,,1,2,3,7
0000000043140B20,3,,4,3,4,1
00000000431FD240,3,,7,4,2,1
000000004321DE80,3,,1,2,3,7
0000000043230520,3,,4,3,4,4
00000000432DDBE0,3,,7,4,2,4
00000000432FEE80,3,,1,2,3,7
0000000043311B60,3,,4,3,4,1
00000000433BBDC0,3,,7,4,2,1
00000000433CAC80,3,,1,2,3,7
00000000433DE2C0,3,,4,3,4,5
00000000434BC6A0,3,,7,4,2,5
00000000434CE2C0,3,,1,2,3,7
00000000434E0BE0,3,,4,3,4,4
000000004358CE80,3,,7,4,2,4
00000000435BA7A0,3,,1,2,3,7
00000000435CEAA0,3,,4,3,4,6
00000000436806C0,3,,7,4,2,6
00000000436AFC20,3,,1,2,3,7
00000000436C1A80,3,,4,3,4,0
00000000437A7040,3,,7,4,2,0
00000000437DE740,3,,1,2,3,7
00000000437F1A00,3,,4,3,4,6
