clock,pid,pname,event_name,pstate_prev,pstate_next,cpu
00000001AE79B040,4,,0,0,1,0
00000001AEA41D20,4,,3,1,3,0
00000001AF5329C0,4,,7,4,2,4
00000001AF554060,4,,1,2,3,6
00000001AF5B6D00,4,,4,3,4,2
00000001AF91B7A0,4,,7,4,2,2
00000001AF9307A0,4,,1,2,3,6
00000001AF984260,4,,4,3,4,2
00000001AF9E7200,4,,7,4,2,2
00000001AF9FA900,4,,1,2,3,6
00000001AFA513C0,4,,4,3,4,0
00000001AFABAF20,4,,7,4,2,0
00000001AFACD620,4,,1,2,3,6
00000001AFB23760,4,,4,3,4,5
00000001AFB96740,4,,7,4,2,5
00000001AFBAA4A0,4,,1,2,3,6
00000001AFBFE700,4,,4,3,4,5
00000001AFC68220,4,,7,4,2,5
00000001AFC7C960,4,,1,2,3,6
00000001AFCD2F40,4,,4,3,4,5
00000001AFD3C780,4,,7,4,2,5
00000001AFD50AC0,4,,1,2,3,6
00000001AFDA9D60,4,,4,3,4,5
00000001AFE12100,4,,7,4,2,5
00000001AFE25C20,4,,1,2,3,6
00000001AFE78DC0,4,,4,3,4,0
00000001AFEDC840,4,,7,4,2,0
00000001AFEEE980,4,,1,2,3,6
00000001AFF43080,4,,4,3,4,2
00000001AFFC28E0,4,,7,4,2,2
00000001AFFD4A40,4,,1,2,3,6
00000001B00296C0,4,,4,3,4,5
00000001B0091580,4,,7,4,2,5
00000001B00A5340,4,,1,2,3,6
00000001B00FE460,4,,4,3,4,0
00000001B1031A60,4,,7,4,2,0
00000001B1049100,4,,1,2,3,6
00000001B10A0100,4,,4,3,4,2
00000001B1C03A00,4,,7,4,2,2
00000001B1C1B860,4,,1,2,3,6
00000001B1C74780,4,,4,3,4,2
00000001B1C88DC0,4,,7,4,2,2
00000001B1C9D1A0,4,,1,2,3,6
00000001B1CF98A0,4,,4,3,4,3
00000001B1DBDDE0,4,,7,4,2,3
00000001B1DD2680,4,,1,2,3,6
00000001B1E295A0,4,,4,3,4,4
00000001B1E470E0,4,,7,4,2,4
00000001B1E548C0,4,,1,2,3,6
00000001B1EAAAC0,4,,4,3,4,1
00000001B1F3AD40,4,,7,4,2,1
00000001B1F4CC20,4,,1,2,3,6
00000001B1FA1AA0,4,,4,3,4,3
00000001B1FB8400,4,,7,4,2,3
00000001B1FC51E0,4,,1,2,3,6
00000001B201C400,4,,4,3,4,0
00000001B2085EA0,4,,7,4,2,0
00000001B2095D00,4,,1,2,3,6
00000001B20EA8C0,4,,4,3,4,2
00000001B216DC60,4,,7,4,2,2
00000001B217B220,4,,1,2,3,6
00000001B21D1080,4,,4,3,4,4
00000001B228AB40,4,,7,4,2,4
00000001B22975A0,4,,1,2,3,6
00000001B22EC4A0,4,,4,3,4,2
00000001B239E460,4,,7,4,2,2
00000001B23B25C0,4,,1,2,3,6
00000001B24064A0,4,,4,3,4,4
00000001B24A00E0,4,,7,4,2,4
00000001B24B23C0,4,,1,2,3,6
00000001B250A020,4,,4,3,4,4
00000001B2604E80,4,,7,4,2,4
00000001B2611EA0,4,,1,2,3,6
00000001B2669660,4,,4,3,4,5
00000001B272F240,4,,7,4,2,5
00000001B273E520,4,,1,2,3,6
00000001B2792460,4,,4,3,4,2
00000001B280D7A0,4,,7,4,2,2
00000001B281F960,4,,1,2,3,6
00000001B28763E0,4,,4,3,4,3
00000001B28902E0,4,,7,4,2,3
00000001B289CE60,4,,1,2,3,6
00000001B28F2100,4,,4,3,4,3
00000001B29A9660,4,,7,4,2,3
00000001B29B65A0,4,,1,2,3,6
00000001B2A09C60,4,,4,3,4,2
00000001B2A6D700,4,,7,4,2,2
00000001B2A7AD80,4,,1,2,3,6
00000001B2AD2D80,4,,4,3,4,2
00000001B2B53640,4,,7,4,2,2
00000001B2B61780,4,,1,2,3,6
00000001B2BB77A0,4,,4,3,4,4
00000001B2C45940,4,,7,4,2,4
00000001B2C548E0,4,,1,2,3,6
00000001B2CAAF80,4,,4,3,4,3
00000001B2D31640,4,,7,4,2,3
00000001B2D3F240,4,,1,2,3,6
00000001B2D97300,4,,4,3,4,3
00000001B2E66EE0,4,,7,4,2,3
00000001B2E7B900,4,,1,2,3,6
00000001B2ED1D80,4,,4,3,4,5
00000001B3048BA0,4,,7,4,2,5
00000001B3058A40,4,,1,2,3,6
00000001B30ADA20,4,,4,3,4,1
00000001B318A8E0,4,,7,4,2,1
00000001B3198120,4,,1,2,3,6
00000001B31ECDE0,4,,4,3,4,3
00000001B3274140,4,,7,4,2,3
00000001B3281460,4,,1,2,3,6
00000001B32D6FE0,4,,4,3,4,4
00000001B335F560,4,,7,4,2,4
00000001B336BB00,4,,1,2,3,6
00000001B33BBB80,4,,4,3,4,0
00000001B3423A00,4,,7,4,2,0
00000001B34313C0,4,,1,2,3,6
00000001B34822C0,4,,4,3,4,5
00000001B3543080,4,,7,4,2,5
00000001B3552180,4,,1,2,3,6
00000001B35A1760,4,,4,3,4,4
00000001B362CD60,4,,7,4,2,4
00000001B3639CA0,4,,1,2,3,6
00000001B368AD20,4,,4,3,4,3
00000001B370D7A0,4,,7,4,2,3
00000001B371ADE0,4,,1,2,3,6
00000001B376B720,4,,4,3,4,2
00000001B381D2A0,4,,7,4,2,2
00000001B382F700,4,,1,2,3,6
00000001B3881580,4,,4,3,4,4
00000001B3951180,4,,7,4,2,4
00000001B39616C0,4,,1,2,3,6
00000001B39B5260,4,,4,3,4,5
00000001B3A79DA0,4,,7,4,2,5
00000001B3A897E0,4,,1,2,3,6
00000001B3ADC860,4,,4,3,4,4
00000001B3B615E0,4,,7,4,2,4
00000001B3B6E800,4,,1,2,3,6
00000001B3BC2FC0,4,,4,3,4,1
00000001B3C4C540,4,,7,4,2,1
00000001B3C596E0,4,,1,2,3,6
00000001B3CAD500,4,,4,3,4,4
00000001B3D142E0,4,,7,4,2,4
00000001B3D21780,4,,1,2,3,6
00000001B3D88340,4,,2,4,3,2
00000001B3DABCE0,4,,4,3,4,1
00000001B3DB11A0,4,,4,3,4,1
00000001B3E3DC40,4,,7,4,2,1
00000001B3E4AC60,4,,1,2,3,6
00000001B3EA3B40,4,,4,3,4,5
00000001B3F66100,4,,7,4,2,5
00000001B3F75140,4,,1,2,3,6
00000001B3FC84E0,4,,4,3,4,0
00000001B40533E0,4,,7,4,2,0
00000001B4060960,4,,1,2,3,6
00000001B40B5320,4,,4,3,4,5
00000001B41DB5C0,4,,7,4,2,5
00000001B41EEEA0,4,,1,2,3,6
00000001B4242A60,4,,4,3,4,1
00000001B431EDE0,4,,7,4,2,1
00000001B432C040,4,,1,2,3,6
00000001B4380BC0,4,,4,3,4,1
00000001B44102E0,4,,7,4,2,1
00000001B441D640,4,,1,2,3,6
00000001B44715C0,4,,4,3,4,5
00000001B4537480,4,,7,4,2,5
00000001B45458A0,4,,1,2,3,6
00000001B45989C0,4,,4,3,4,1
00000001B461F260,4,,7,4,2,1
00000001B462C580,4,,1,2,3,6
00000001B467F920,4,,4,3,4,0
00000001B46E9AA0,4,,7,4,2,0
00000001B46F76E0,4,,1,2,3,6
00000001B474C960,4,,4,3,4,1
00000001B47D6420,4,,7,4,2,1
00000001B47E3740,4,,1,2,3,6
00000001B4839C20,4,,4,3,4,4
00000001B48BFD60,4,,7,4,2,4
00000001B48CCCA0,4,,1,2,3,6
00000001B4921380,4,,4,3,4,0
00000001B49A5260,4,,7,4,2,0
00000001B49B27C0,4,,1,2,3,6
00000001B4A062A0,4,,4,3,4,2
00000001B4AB7180,4,,7,4,2,2
00000001B4ACBE60,4,,1,2,3,6
00000001B4B1F340,4,,4,3,4,1
00000001B4BFE640,4,,7,4,2,1
00000001B4C0BB60,4,,1,2,3,6
00000001B4C5EE60,4,,4,3,4,5
00000001B4D201A0,4,,7,4,2,5
00000001B4D2F920,4,,1,2,3,6
00000001B4D807C0,4,,4,3,4,5
00000001B4E41BA0,4,,7,4,2,5
00000001B4E50940,4,,1,2,3,6
00000001B4EA3120,4,,4,3,4,0
00000001B4F2A6A0,4,,7,4,2,0
00000001B4F3C040,4,,1,2,3,6
00000001B4F8FE40,4,,4,3,4,2
00000001B5040C80,4,,7,4,2,2
00000001B504E000,4,,1,2,3,6
00000001B50A1200,4,,4,3,4,2
00000001B512A740,4,,7,4,2,2
00000001B513A6E0,4,,1,2,3,6
00000001B518E400,4,,4,3,4,4
00000001B52136C0,4,,7,4,2,4
00000001B5306360,4,,1,2,3,6
00000001B535D6E0,4,,4,3,4,2
00000001B53E02E0,4,,7,4,2,2
00000001B53F2120,4,,1,2,3,6
00000001B5445840,4,,4,3,4,1
00000001B55054C0,4,,7,4,2,1
00000001B5519340,4,,1,2,3,6
00000001B556D060,4,,4,3,4,3
00000001B5640620,4,,7,4,2,3
00000001B564C320,4,,1,2,3,6
00000001B569FD60,4,,4,3,4,0
00000001B572C8A0,4,,7,4,2,0
00000001B5738640,4,,1,2,3,6
00000001B578CCE0,4,,4,3,4,3
00000001B58118A0,4,,7,4,2,3
00000001B581EF60,4,,1,2,3,6
00000001B5875700,4,,4,3,4,5
00000001B5937640,4,,7,4,2,5
00000001B5946660,4,,1,2,3,6
00000001B599DD60,4,,4,3,4,0
00000001B5A08E40,4,,7,4,2,0
00000001B5A16DA0,4,,1,2,3,6
00000001B5A6D0E0,4,,4,3,4,1
00000001B5AFE240,4,,7,4,2,1
00000001B5B0B5A0,4,,1,2,3,6
00000001B5B5E7C0,4,,4,3,4,0
00000001B5BED320,4,,7,4,2,0
00000001B5C00360,4,,1,2,3,6
00000001B5C548C0,4,,4,3,4,5
00000001B5D117E0,4,,7,4,2,5
00000001B5D21460,4,,1,2,3,6
00000001B5D78440,4,,4,3,4,2
00000001B5E2DE80,4,,7,4,2,2
00000001B5E425C0,4,,1,2,3,6
00000001B5E9AC40,4,,4,3,4,0
00000001B5F7D2E0,4,,7,4,2,0
00000001B5F8A380,4,,1,2,3,6
00000001B5FE0840,4,,4,3,4,3
00000001B606CB40,4,,7,4,2,3
00000001B6079D40,4,,1,2,3,6
00000001B60D31A0,4,,4,3,4,5
00000001B6194220,4,,7,4,2,5
00000001B61A2CA0,4,,1,2,3,6
00000001B61FD0A0,4,,4,3,4,5
00000001B62BB360,4,,7,4,2,5
00000001B62C9E80,4,,1,2,3,6
00000001B6320E40,4,,4,3,4,0
00000001B638DFE0,4,,7,4,2,0
00000001B639B600,4,,1,2,3,6
00000001B63EE940,4,,4,3,4,3
00000001B6476DE0,4,,7,4,2,3
00000001B6483F00,4,,1,2,3,6
00000001B64D7EA0,4,,4,3,4,5
00000001B659C8A0,4,,7,4,2,5
00000001B65AB520,4,,1,2,3,6
00000001B65FE7E0,4,,4,3,4,2
00000001B6682440,4,,7,4,2,2
00000001B668F800,4,,1,2,3,6
00000001B66E4340,4,,4,3,4,3
00000001B6793A60,4,,7,4,2,3
00000001B67A5CA0,4,,1,2,3,6
00000001B67F8600,4,,4,3,4,0
00000001B68CB200,4,,7,4,2,0
00000001B68D8440,4,,1,2,3,6
00000001B692E320,4,,4,3,4,3
00000001B69B56A0,4,,7,4,2,3
00000001B69C4900,4,,1,2,3,6
00000001B6A17FE0,4,,4,3,4,2
00000001B6AA0460,4,,7,4,2,2
00000001B6AADF00,4,,1,2,3,6
00000001B6B04D20,4,,4,3,4,2
00000001B6B89900,4,,7,4,2,2
00000001B6B96D00,4,,1,2,3,6
00000001B6BE8C60,4,,4,3,4,2
00000001B6C4FD40,4,,7,4,2,2
00000001B6C5D380,4,,1,2,3,6
00000001B6CB1520,4,,4,3,4,2
00000001B6D352A0,4,,7,4,2,2
00000001B6D42CE0,4,,1,2,3,6
00000001B6D98340,4,,4,3,4,5
00000001B6EA1AE0,4,,7,4,2,5
00000001B6EB09A0,4,,1,2,3,6
00000001B6F04060,4,,4,3,4,2
00000001B6F83A00,4,,7,4,2,2
00000001B6F90E80,4,,1,2,3,6
00000001B6FE6320,4,,4,3,4,4
00000001B709F420,4,,7,4,2,4
00000001B70B3840,4,,1,2,3,6
00000001B71074C0,4,,4,3,4,0
00000001B71DABE0,4,,7,4,2,0
00000001B71E80A0,4,,1,2,3,6
00000001B723E920,4,,4,3,4,3
00000001B72C8BA0,4,,7,4,2,3
00000001B72D5DA0,4,,1,2,3,6
00000001B73289A0,4,,4,3,4,1
00000001B73B9C60,4,,7,4,2,1
00000001B73C7080,4,,1,2,3,6
00000001B7417A80,4,,4,3,4,4
00000001B7496D80,4,,7,4,2,4
00000001B74A38C0,4,,1,2,3,6
00000001B74F4440,4,,4,3,4,4
00000001B7558120,4,,7,4,2,4
00000001B7565360,4,,1,2,3,6
00000001B75B7E60,4,,4,3,4,3
00000001B763E900,4,,7,4,2,3
00000001B764ED40,4,,1,2,3,6
00000001B76A3160,4,,4,3,4,0
00000001B772D260,4,,7,4,2,0
