clock,pid,pname,event_name,pstate_prev,pstate_next,cpu
00000001B2BAA220,4,,0,0,1,3
00000001B2E7AA20,4,,3,1,3,3
00000001B2EB0760,4,,4,3,4,1
00000001B32773E0,4,,7,4,2,1
00000001B32A2E20,4,,1,2,3,6
00000001B32C5A40,4,,4,3,4,3
00000001B35A69E0,4,,7,4,2,3
00000001B35BAE60,4,,1,2,3,6
00000001B35DD9E0,4,,4,3,4,3
00000001B36150C0,4,,7,4,2,3
00000001B362FB40,4,,1,2,3,6
00000001B364D820,4,,4,3,4,3
00000001B3681DE0,4,,7,4,2,3
00000001B36937A0,4,,1,2,3,6
00000001B36B4360,4,,4,3,4,3
00000001B36E7620,4,,7,4,2,3
00000001B36F8960,4,,1,2,3,6
00000001B3716880,4,,4,3,4,4
00000001B3753BA0,4,,7,4,2,4
00000001B3766CC0,4,,1,2,3,6
00000001B37897C0,4,,4,3,4,0
00000001B37BA920,4,,7,4,2,0
00000001B37CBA20,4,,1,2,3,6
00000001B37E9FA0,4,,4,3,4,0
00000001B38184E0,4,,7,4,2,0
00000001B382A580,4,,1,2,3,6
00000001B384EDE0,4,,4,3,4,1
00000001B38823C0,4,,7,4,2,1
00000001B3893180,4,,1,2,3,6
00000001B38B1A60,4,,4,3,4,3
00000001B38F6AC0,4,,7,4,2,3
00000001B3907E20,4,,1,2,3,6
00000001B3926C80,4,,4,3,4,3
00000001B3959840,4,,7,4,2,3
00000001B396A7E0,4,,1,2,3,6
00000001B3989920,4,,4,3,4,2
00000001B456C800,4,,7,4,2,2
00000001B45811A0,4,,1,2,3,6
00000001B45A0DA0,4,,4,3,4,5
00000001B511D660,4,,7,4,2,5
00000001B51306A0,4,,1,2,3,6
00000001B5152800,4,,4,3,4,5
00000001B516E620,4,,7,4,2,5
00000001B517EDC0,4,,1,2,3,6
00000001B51A0C20,4,,4,3,4,2
00000001B51ED5E0,4,,7,4,2,2
00000001B5200800,4,,1,2,3,6
00000001B5220200,4,,4,3,4,0
00000001B52355C0,4,,7,4,2,0
00000001B52425E0,4,,1,2,3,6
00000001B5265A40,4,,4,3,4,4
00000001B52A95C0,4,,7,4,2,4
00000001B52BCEC0,4,,1,2,3,6
00000001B52DBF80,4,,4,3,4,3
00000001B52F2D60,4,,7,4,2,3
00000001B5301400,4,,1,2,3,6
00000001B53205A0,4,,4,3,4,2
00000001B535EB00,4,,7,4,2,2
00000001B536B700,4,,1,2,3,6
00000001B538A320,4,,4,3,4,0
00000001B53CE000,4,,7,4,2,0
00000001B53DAEA0,4,,1,2,3,6
00000001B53FC120,4,,4,3,4,2
00000001B5442DC0,4,,7,4,2,2
00000001B544F600,4,,1,2,3,6
00000001B546E940,4,,4,3,4,2
00000001B54AE260,4,,2,4,3,2
00000001B54C04C0,4,,4,3,4,1
00000001B55252C0,4,,7,4,2,1
00000001B5536A80,4,,1,2,3,6
00000001B5555300,4,,4,3,4,5
00000001B55C6100,4,,7,4,2,5
00000001B55DA5A0,4,,1,2,3,6
00000001B55FD1C0,4,,4,3,4,0
00000001B568BDC0,4,,7,4,2,0
00000001B569C420,4,,1,2,3,6
00000001B56BC760,4,,4,3,4,3
00000001B57044C0,4,,7,4,2,3
00000001B5710DC0,4,,1,2,3,6
00000001B572FA60,4,,4,3,4,3
00000001B576CBE0,4,,7,4,2,3
00000001B577E700,4,,1,2,3,6
00000001B579F520,4,,4,3,4,3
00000001B57B6A60,4,,7,4,2,3
00000001B57C3640,4,,1,2,3,6
00000001B57E24C0,4,,4,3,4,3
00000001B5824BA0,4,,7,4,2,3
00000001B5831AA0,4,,1,2,3,6
00000001B5853820,4,,4,3,4,3
00000001B588BCC0,4,,7,4,2,3
00000001B5898360,4,,1,2,3,6
00000001B58B6840,4,,4,3,4,0
00000001B58F7A40,4,,7,4,2,0
00000001B5905520,4,,1,2,3,6
00000001B5925820,4,,4,3,4,2
00000001B5973F20,4,,7,4,2,2
00000001B5980580,4,,1,2,3,6
00000001B599EC80,4,,4,3,4,2
00000001B59E4CA0,4,,7,4,2,2
00000001B59F13A0,4,,1,2,3,6
00000001B5A13A80,4,,4,3,4,0
00000001B5A7B2E0,4,,7,4,2,0
00000001B5A8D160,4,,1,2,3,6
00000001B5AAF0A0,4,,4,3,4,5
00000001B5B1F5E0,4,,7,4,2,5
00000001B5B2C300,4,,1,2,3,6
00000001B5B4AA60,4,,4,3,4,5
00000001B5B94CE0,4,,7,4,2,5
00000001B5BA13C0,4,,1,2,3,6
00000001B5BC31C0,4,,4,3,4,5
00000001B5C0FB60,4,,7,4,2,5
00000001B5C1C400,4,,1,2,3,6
00000001B5C3A8E0,4,,4,3,4,4
00000001B5C81200,4,,7,4,2,4
00000001B5C8D400,4,,1,2,3,6
00000001B5CAF400,4,,4,3,4,0
00000001B5CE3B20,4,,7,4,2,0
00000001B5CF0580,4,,1,2,3,6
00000001B5D10360,4,,4,3,4,2
00000001B5D5B920,4,,7,4,2,2
00000001B5D680A0,4,,1,2,3,6
00000001B5D86480,4,,4,3,4,1
00000001B5DC9D40,4,,7,4,2,1
00000001B5DD6520,4,,1,2,3,6
00000001B5DF55A0,4,,4,3,4,0
00000001B5E39960,4,,7,4,2,0
00000001B5E45E00,4,,1,2,3,6
00000001B5E68500,4,,4,3,4,5
00000001B5ED1D00,4,,7,4,2,5
00000001B5EE68E0,4,,1,2,3,6
00000001B5F085A0,4,,4,3,4,1
00000001B5F6D860,4,,7,4,2,1
00000001B5F7C500,4,,1,2,3,6
00000001B5F9D140,4,,4,3,4,5
00000001B5FE5DC0,4,,7,4,2,5
00000001B5FF46A0,4,,1,2,3,6
00000001B60136E0,4,,4,3,4,5
00000001B605B780,4,,7,4,2,5
00000001B6067F00,4,,1,2,3,6
00000001B60883E0,4,,4,3,4,1
00000001B60C6360,4,,7,4,2,1
00000001B60D2CC0,4,,1,2,3,6
00000001B60F2CA0,4,,4,3,4,0
00000001B612D740,4,,7,4,2,0
00000001B613A140,4,,1,2,3,6
00000001B615E2E0,4,,4,3,4,2
00000001B61A9AA0,4,,7,4,2,2
00000001B61B7640,4,,1,2,3,6
00000001B61D68C0,4,,4,3,4,0
00000001B621A420,4,,7,4,2,0
00000001B6226EC0,4,,1,2,3,6
00000001B6245360,4,,4,3,4,0
00000001B6286980,4,,7,4,2,0
00000001B62938A0,4,,1,2,3,6
00000001B62B4360,4,,4,3,4,3
00000001B62E8220,4,,2,4,3,3
00000001B62F5F20,4,,4,3,4,1
00000001B6346980,4,,7,4,2,1
00000001B6358A40,4,,1,2,3,6
00000001B6377E60,4,,4,3,4,3
00000001B63E8500,4,,7,4,2,3
00000001B63F4CA0,4,,1,2,3,6
00000001B6416E00,4,,4,3,4,2
00000001B6462560,4,,7,4,2,2
00000001B64737C0,4,,1,2,3,6
00000001B6493300,4,,4,3,4,0
00000001B64D7720,4,,7,4,2,0
00000001B64E46C0,4,,1,2,3,6
00000001B6504AC0,4,,4,3,4,3
00000001B654B6E0,4,,7,4,2,3
00000001B6557F80,4,,1,2,3,6
00000001B6577A40,4,,4,3,4,5
00000001B65B5340,4,,7,4,2,5
00000001B65C1D00,4,,1,2,3,6
00000001B65E1A60,4,,4,3,4,5
00000001B662BE60,4,,7,4,2,5
00000001B6638460,4,,1,2,3,6
00000001B665B0C0,4,,4,3,4,4
00000001B66A4200,4,,7,4,2,4
00000001B66B07E0,4,,1,2,3,6
00000001B66D0060,4,,4,3,4,3
00000001B67180E0,4,,7,4,2,3
00000001B6724720,4,,1,2,3,6
00000001B6746E80,4,,4,3,4,0
