clock,pid,pname,event_name,pstate_prev,pstate_next,cpu
0000000040B3A700,3,,0,0,1,4
000000004141AC20,3,,3,1,3,4
0000000041B34BE0,3,,2,4,3,0
0000000041CD99C0,3,,4,3,4,3
0000000042095A60,3,,2,4,3,3
0000000042152B20,3,,4,3,4,1
000000004267B380,3,,7,4,2,1
00000000427091A0,3,,1,2,3,7
00000000427FC740,3,,4,3,4,0
0000000043196040,3,,7,4,2,0
000000004321F9C0,3,,1,2,3,7
00000000432D0CC0,3,,4,3,4,1
00000000433A90A0,3,,7,4,2,1
0000000043409520,3,,1,2,3,7
0000000043478B00,3,,4,3,4,3
000000004356F820,3,,7,4,2,3
00000000435D37E0,3,,1,2,3,7
0000000043731840,3,,4,3,4,7
000000004380D500,3,,7,4,2,7
00000000438B94A0,3,,1,2,3,7
0000000043926780,3,,4,3,4,1
0000000043A02AE0,3,,7,4,2,1
0000000043A69B20,3,,1,2,3,7
0000000043AEA200,3,,4,3,4,6
0000000043BE0500,3,,7,4,2,6
0000000043C49000,3,,1,2,3,7
0000000043CC0E80,3,,4,3,4,5
0000000043DC6BE0,3,,7,4,2,5
0000000043E44B80,3,,1,2,3,7
0000000043EB28C0,3,,4,3,4,2
0000000043F8A800,3,,7,4,2,2
0000000044009900,3,,1,2,3,7
00000000440A82E0,3,,4,3,4,3
00000000442015C0,3,,7,4,2,3
0000000044298B80,3,,1,2,3,7
00000000443A0FE0,3,,4,3,4,7
00000000444876C0,3,,7,4,2,7
000000004451FB80,3,,1,2,3,7
00000000445A5520,3,,4,3,4,6
0000000045F85D00,3,,2,4,3,6
0000000046050980,3,,4,3,4,7
000000004763F340,3,,7,4,2,7
00000000476BE300,3,,1,2,3,7
000000004772DBE0,3,,4,3,4,6
0000000047E05300,3,,2,4,3,6
0000000047EE2720,3,,4,3,4,7
0000000049D66BE0,3,,2,4,3,7
0000000049E16D40,3,,4,3,4,0
0000000049FC3DA0,3,,7,4,2,0
000000004A055F60,3,,1,2,3,7
000000004A0CF8E0,3,,4,3,4,2
000000004A1E5240,3,,7,4,2,2
000000004A20D600,3,,1,2,3,7
000000004A28FD00,3,,4,3,4,3
000000004A3C4C60,3,,7,4,2,3
000000004A451B80,3,,1,2,3,7
000000004A57D300,3,,4,3,4,4
000000004A69DA40,3,,7,4,2,4
000000004A6CBCE0,3,,1,2,3,7
000000004A79FF60,3,,4,3,4,1
000000004A8DD580,3,,7,4,2,1
000000004A989FA0,3,,1,2,3,7
000000004AA22360,3,,4,3,4,4
000000004AAFC2E0,3,,7,4,2,4
000000004AB2BB60,3,,1,2,3,7
000000004AC07820,3,,4,3,4,0
000000004AD6CAA0,3,,7,4,2,0
000000004AD94680,3,,1,2,3,7
000000004AE1FA60,3,,4,3,4,1
000000004AFD5F20,3,,7,4,2,1
000000004B011CC0,3,,1,2,3,7
000000004B0C4680,3,,4,3,4,2
000000004B2813A0,3,,7,4,2,2
000000004B29FB20,3,,1,2,3,7
000000004B34DCE0,3,,4,3,4,2
000000004B51C040,3,,7,4,2,2
000000004B59CBC0,3,,1,2,3,7
000000004B61F6A0,3,,4,3,4,0
000000004B7344E0,3,,7,4,2,0
000000004B7B2E40,3,,1,2,3,7
000000004B852440,3,,4,3,4,2
000000004B8A4E60,3,,2,4,3,2
000000004B939E80,3,,4,3,4,1
000000004BCA7CA0,3,,7,4,2,1
000000004BCCD300,3,,1,2,3,7
000000004BD4FB80,3,,4,3,4,5
000000004BF2B160,3,,7,4,2,5
000000004BF51920,3,,1,2,3,7
000000004BFE3820,3,,4,3,4,3
000000004C120840,3,,7,4,2,3
000000004C192E00,3,,1,2,3,7
000000004C2D9340,3,,4,3,4,5
000000004C3EAD00,3,,7,4,2,5
000000004C412300,3,,1,2,3,7
000000004C5150A0,3,,4,3,4,3
000000004C6A1AA0,3,,7,4,2,3
000000004C6CFC20,3,,1,2,3,7
000000004C756C40,3,,4,3,4,0
000000004C8D0EE0,3,,7,4,2,0
000000004C8F31E0,3,,1,2,3,7
000000004C992060,3,,4,3,4,6
000000004CB98140,3,,7,4,2,6
000000004CBBAD40,3,,1,2,3,7
000000004CC39160,3,,4,3,4,5
000000004CE2C940,3,,7,4,2,5
000000004CE53160,3,,1,2,3,7
000000004CEDB300,3,,4,3,4,5
000000004D078220,3,,7,4,2,5
000000004D0A8380,3,,1,2,3,7
000000004D131EC0,3,,4,3,4,0
000000004D236BE0,3,,2,4,3,0
000000004D2FEB80,3,,4,3,4,3
000000004D4AFA00,3,,7,4,2,3
000000004D54E120,3,,1,2,3,7
000000004D5BC980,3,,4,3,4,2
000000004D714160,3,,2,4,3,2
000000004D79A720,3,,4,3,4,5
000000004D8F7AA0,3,,2,4,3,5
000000004D9B11E0,3,,4,3,4,3
000000004DB013E0,3,,7,4,2,3
000000004DB34D80,3,,1,2,3,7
000000004DBDC840,3,,4,3,4,1
000000004DD96960,3,,7,4,2,1
000000004DDB72E0,3,,1,2,3,7
000000004DEBD9C0,3,,4,3,4,5
000000004E09BCE0,3,,7,4,2,5
000000004E0CF960,3,,1,2,3,7
000000004E1A01A0,3,,4,3,4,6
000000004E348B20,3,,7,4,2,6
000000004E3713C0,3,,1,2,3,7
000000004E3F4980,3,,4,3,4,6
000000004E57E1A0,3,,7,4,2,6
000000004E5B13A0,3,,1,2,3,7
000000004E632720,3,,4,3,4,3
000000004E7EAE80,3,,7,4,2,3
000000004E8158A0,3,,1,2,3,7
000000004E895480,3,,4,3,4,5
000000004EA87C80,3,,7,4,2,5
000000004EAB57C0,3,,1,2,3,7
000000004EB587A0,3,,4,3,4,5
000000004ED17340,3,,7,4,2,5
000000004ED42AC0,3,,1,2,3,7
000000004EDEAD40,3,,4,3,4,1
000000004F02D020,3,,7,4,2,1
000000004F0BD680,3,,1,2,3,7
000000004F144A20,3,,4,3,4,4
000000004F42A9A0,3,,7,4,2,4
000000004F455160,3,,1,2,3,7
000000004F4F73C0,3,,4,3,4,4
000000004F6E78C0,3,,7,4,2,4
000000004F70E760,3,,1,2,3,7
000000004F8777E0,3,,4,3,4,2
000000004FA35F00,3,,7,4,2,2
000000004FA69780,3,,1,2,3,7
000000004FB34D00,3,,4,3,4,4
000000004FCA7EA0,3,,7,4,2,4
000000004FCD4E80,3,,1,2,3,7
000000004FD45AC0,3,,4,3,4,1
000000004FEC6F20,3,,7,4,2,1
000000004FEEF8C0,3,,1,2,3,7
000000004FFA7D20,3,,4,3,4,7
0000000050161760,3,,7,4,2,7
00000000501A9240,3,,1,2,3,7
00000000502286A0,3,,4,3,4,0
00000000503DE400,3,,7,4,2,0
0000000050423E20,3,,1,2,3,7
0000000050497240,3,,4,3,4,3
0000000050634EE0,3,,7,4,2,3
00000000506649E0,3,,1,2,3,7
00000000506E77A0,3,,4,3,4,6
0000000050922CE0,3,,7,4,2,6
00000000509A7E20,3,,1,2,3,7
0000000050A32C20,3,,4,3,4,2
0000000050D10940,3,,7,4,2,2
0000000050D3B480,3,,1,2,3,7
0000000050DC3460,3,,4,3,4,6
0000000050F9BC60,3,,7,4,2,6
0000000050FC3780,3,,1,2,3,7
00000000510465C0,3,,4,3,4,3
0000000051220E80,3,,7,4,2,3
0000000051258640,3,,1,2,3,7
00000000512DC540,3,,4,3,4,4
0000000051466D60,3,,7,4,2,4
00000000514A71C0,3,,1,2,3,7
000000005151B6E0,3,,4,3,4,4
000000005157FA20,3,,2,4,3,4
0000000051609340,3,,4,3,4,0
00000000517ABC80,3,,7,4,2,0
00000000517DB6C0,3,,1,2,3,7
000000005185F160,3,,4,3,4,1
0000000051A236C0,3,,7,4,2,1
0000000051A42300,3,,1,2,3,7
0000000051AAC020,3,,4,3,4,4
0000000051C6F620,3,,7,4,2,4
