clock,pid,pname,event_name,pstate_prev,pstate_next,cpu
0000000058FAB060,6,,4,3.0,4.0,1.0
0000000058FAE600,35,,2,4.0,3.0,0.0
0000000058FCAD20,22,,4,3.0,4.0,3.0
0000000058FD3E00,6,,2,4.0,3.0,1.0
0000000058FDC040,31,,4,3.0,4.0,4.0
0000000058FEFC00,22,,2,4.0,3.0,3.0
0000000058FF2BC0,10,,4,3.0,4.0,2.0
00000000590027A0,33,,4,3.0,4.0,6.0
0000000059016560,31,,2,4.0,3.0,4.0
0000000059024C80,10,,2,4.0,3.0,2.0
000000005902F880,32,,2,4.0,3.0,5.0
0000000059038E60,33,,2,4.0,3.0,6.0
000000005904AFE0,12,,4,3.0,4.0,1.0
000000005905E660,20,,4,3.0,4.0,0.0
0000000059072640,12,,2,4.0,3.0,1.0
000000005907B480,34,,4,3.0,4.0,7.0
0000000059086E80,20,,2,4.0,3.0,0.0
0000000059095420,15,,4,3.0,4.0,4.0
00000000590A0180,28,,4,3.0,4.0,3.0
00000000590A3C40,34,,2,4.0,3.0,7.0
00000000590AB1A0,16,,4,3.0,4.0,5.0
00000000590B83A0,15,,2,4.0,3.0,4.0
00000000590D0FC0,28,,2,4.0,3.0,3.0
00000000590D5A40,21,,4,3.0,4.0,2.0
00000000590DB240,16,,2,4.0,3.0,5.0
00000000590E4960,25,,4,3.0,4.0,6.0
00000000590F5540,21,,2,4.0,3.0,2.0
00000000590F9440,30,,4,3.0,4.0,1.0
0000000059104E60,26,,4,3.0,4.0,7.0
000000005910D300,25,,2,4.0,3.0,6.0
00000000591276C0,30,,2,4.0,3.0,1.0
000000005912C560,26,,2,4.0,3.0,7.0
000000005915D340,24,,4,3.0,4.0,5.0
00000000591673A0,11,,4,3.0,4.0,0.0
0000000059179E60,9,,4,3.0,4.0,3.0
000000005917B420,24,,2,4.0,3.0,5.0
00000000591899A0,19,,4,3.0,4.0,1.0
00000000591926A0,11,,2,4.0,3.0,0.0
00000000591A1E00,9,,2,4.0,3.0,3.0
00000000591A9C40,23,,4,3.0,4.0,4.0
00000000591AC2C0,19,,2,4.0,3.0,1.0
00000000591B3220,13,,4,3.0,4.0,2.0
00000000591C87E0,23,,2,4.0,3.0,4.0
00000000591CACA0,18,,4,3.0,4.0,7.0
00000000591D8F20,13,,2,4.0,3.0,2.0
00000000591EE380,18,,2,4.0,3.0,7.0
00000000591F3920,4,,4,3.0,4.0,6.0
0000000059216BA0,14,,4,3.0,4.0,3.0
0000000059218B20,4,,2,4.0,3.0,6.0
0000000059224B40,6,,4,3.0,4.0,1.0
0000000059236D60,14,,2,4.0,3.0,3.0
0000000059239600,8,,4,3.0,4.0,4.0
0000000059248F80,6,,2,4.0,3.0,1.0
0000000059253FC0,32,,4,3.0,4.0,5.0
000000005925E380,8,,2,4.0,3.0,4.0
000000005925F7A0,5,,4,3.0,4.0,7.0
0000000059269200,17,,4,3.0,4.0,6.0
000000005927C520,32,,2,4.0,3.0,5.0
0000000059282C40,5,,2,4.0,3.0,7.0
0000000059293F00,29,,4,3.0,4.0,2.0
000000005929EC80,17,,2,4.0,3.0,6.0
00000000592AD840,7,,4,3.0,4.0,0.0
00000000592B7AE0,29,,2,4.0,3.0,2.0
00000000592D3420,7,,2,4.0,3.0,0.0
00000000592DADA0,22,,4,3.0,4.0,3.0
00000000592F3180,12,,4,3.0,4.0,1.0
00000000593086E0,22,,2,4.0,3.0,3.0
0000000059309FA0,31,,4,3.0,4.0,4.0
000000005931D9C0,33,,4,3.0,4.0,6.0
0000000059322E00,12,,2,4.0,3.0,1.0
000000005933B100,31,,2,4.0,3.0,4.0
0000000059341160,16,,4,3.0,4.0,5.0
0000000059347AA0,33,,2,4.0,3.0,6.0
000000005934CEC0,27,,4,3.0,4.0,0.0
00000000593694A0,16,,2,4.0,3.0,5.0
000000005936E160,27,,2,4.0,3.0,0.0
00000000593766E0,28,,4,3.0,4.0,3.0
000000005937F540,10,,4,3.0,4.0,2.0
00000000593A2F00,10,,2,4.0,3.0,2.0
00000000593A4600,28,,2,4.0,3.0,3.0
00000000593AB740,15,,4,3.0,4.0,4.0
00000000593B5E40,34,,4,3.0,4.0,7.0
00000000593BDC20,30,,4,3.0,4.0,1.0
00000000593D5480,15,,2,4.0,3.0,4.0
00000000593DD5E0,34,,2,4.0,3.0,7.0
00000000593E77C0,30,,2,4.0,3.0,1.0
00000000593EA7C0,24,,4,3.0,4.0,5.0
00000000594018A0,25,,4,3.0,4.0,6.0
000000005940D500,24,,2,4.0,3.0,5.0
0000000059417CE0,9,,4,3.0,4.0,3.0
0000000059424300,25,,2,4.0,3.0,6.0
0000000059425D60,21,,4,3.0,4.0,2.0
0000000059446780,9,,2,4.0,3.0,3.0
00000000594468E0,21,,2,4.0,3.0,2.0
000000005946B160,35,,4,3.0,4.0,0.0
0000000059481CC0,19,,4,3.0,4.0,1.0
000000005948F1A0,35,,2,4.0,3.0,0.0
0000000059490720,26,,4,3.0,4.0,7.0
000000005949B400,23,,4,3.0,4.0,4.0
00000000594A6A80,32,,4,3.0,4.0,5.0
00000000594AC9A0,19,,2,4.0,3.0,1.0
00000000594B2900,13,,4,3.0,4.0,2.0
