
clock, pid, pname, event name, prev pstate, next pstate, cpu
0000000B46C8D9E0, 5, bufwrite, 2, 4, 3, 0
0000000B46CB3300, 5, bufwrite, 4, 3, 4, 1
0000000B46ED1020, 5, bufwrite, 2, 4, 3, 1
0000000B46EE0900, 5, bufwrite, 4, 3, 4, 2
0000000B471A2C20, 5, bufwrite, 2, 4, 3, 2
0000000B471B41C0, 5, bufwrite, 4, 3, 4, 3
0000000B4724B840, 5, bufwrite, 2, 4, 3, 3
0000000B4725A220, 5, bufwrite, 4, 3, 4, 1
0000000B48BEB3C0, 5, bufwrite, 7, 4, 2, 1
0000000B48C4C900, 5, bufwrite, 1, 2, 3, 3
0000000B48C54A60, 5, bufwrite, 4, 3, 4, 0
0000000B4A98B400, 5, bufwrite, 2, 4, 3, 0
0000000B4A99B800, 5, bufwrite, 4, 3, 4, 2
0000000B4AEA0B60, 5, bufwrite, 2, 4, 3, 2
0000000B4AEB0A60, 5, bufwrite, 4, 3, 4, 0
0000000B4C8106C0, 5, bufwrite, 2, 4, 3, 0
0000000B4C820200, 5, bufwrite, 4, 3, 4, 3
0000000B4CDE0140, 5, bufwrite, 2, 4, 3, 3
0000000B4CDF68C0, 5, bufwrite, 4, 3, 4, 0
0000000B4E6969E0, 5, bufwrite, 2, 4, 3, 0
0000000B4E6A6000, 5, bufwrite, 4, 3, 4, 1
0000000B4E7AC3E0, 5, bufwrite, 7, 4, 2, 1
0000000B4E7FC480, 5, bufwrite, 1, 2, 3, 3
0000000B4E805760, 5, bufwrite, 4, 3, 4, 0
0000000B50510320, 5, bufwrite, 2, 4, 3, 0
0000000B5051F480, 5, bufwrite, 4, 3, 4, 1
0000000B507600A0, 5, bufwrite, 2, 4, 3, 1
0000000B5076FFA0, 5, bufwrite, 4, 3, 4, 0
0000000B5247C780, 5, bufwrite, 2, 4, 3, 0
0000000B5248C620, 5, bufwrite, 4, 3, 4, 2
0000000B528CBB60, 5, bufwrite, 2, 4, 3, 2
0000000B528E1780, 5, bufwrite, 4, 3, 4, 1
0000000B5459F7E0, 5, bufwrite, 2, 4, 3, 1
0000000B545B13E0, 5, bufwrite, 4, 3, 4, 2
0000000B5474D9A0, 5, bufwrite, 2, 4, 3, 2
0000000B5475CD80, 5, bufwrite, 4, 3, 4, 0
0000000B560A8600, 5, bufwrite, 2, 4, 3, 0
0000000B560B78C0, 5, bufwrite, 4, 3, 4, 2
0000000B56625F00, 5, bufwrite, 2, 4, 3, 2
0000000B56635640, 5, bufwrite, 4, 3, 4, 3
0000000B56663680, 5, bufwrite, 2, 4, 3, 3
0000000B566717A0, 5, bufwrite, 4, 3, 4, 2
0000000B58443420, 5, bufwrite, 2, 4, 3, 2
0000000B584527E0, 5, bufwrite, 4, 3, 4, 3
0000000B584E7360, 5, bufwrite, 2, 4, 3, 3
0000000B584F5800, 5, bufwrite, 4, 3, 4, 2
0000000B5A2D56E0, 5, bufwrite, 2, 4, 3, 2
0000000B5A2E4840, 5, bufwrite, 4, 3, 4, 1
0000000B5BE74160, 5, bufwrite, 2, 4, 3, 1
0000000B5BE83400, 5, bufwrite, 4, 3, 4, 3
0000000B5C1E3360, 5, bufwrite, 2, 4, 3, 3
0000000B5C200AA0, 5, bufwrite, 4, 3, 4, 2
0000000B5D070020, 5, bufwrite, 5, 4, 5, 2
0000000B5D07F0C0, 5, bufwrite, 6, 5, 0, 3
