clock,pid,pname,event_name,pstate_prev,pstate_next,cpu
000000040AC13560,4,bufwrite,3,1,3,1
000000040AC33160,4,bufwrite,4,3,4,2
000000040AC63020,3,bufwrite,7,4,2,1
000000040AC6DF80,4,bufwrite,7,4,2,2
000000040C901620,3,bufwrite,1,2,3,0
000000040C901C60,4,bufwrite,1,2,3,0
000000040C90A720,3,bufwrite,4,3,4,1
000000040C912AC0,4,bufwrite,4,3,4,0
000000040C91C120,3,bufwrite,7,4,2,1
000000040C926AA0,4,bufwrite,7,4,2,0
000000040E78EBC0,3,bufwrite,1,2,3,0
000000040E78F3C0,4,bufwrite,1,2,3,0
000000040E7970E0,3,bufwrite,4,3,4,1
000000040E79F1A0,4,bufwrite,4,3,4,2
000000040E7A4C60,3,bufwrite,7,4,2,1
000000040E7AF0C0,4,bufwrite,7,4,2,2
000000041061D280,3,bufwrite,1,2,3,0
000000041061D700,4,bufwrite,1,2,3,0
0000000410625120,3,bufwrite,4,3,4,2
000000041062DD60,4,bufwrite,4,3,4,3
0000000410632D80,3,bufwrite,7,4,2,2
000000041063F860,4,bufwrite,7,4,2,3
0000000412496CE0,3,bufwrite,1,2,3,0
0000000412497920,4,bufwrite,1,2,3,0
000000041249FC20,3,bufwrite,4,3,4,2
00000004124A7B40,4,bufwrite,4,3,4,3
00000004124AA9E0,3,bufwrite,7,4,2,2
00000004124B7860,4,bufwrite,7,4,2,3
0000000414316E20,3,bufwrite,1,2,3,0
0000000414317200,4,bufwrite,1,2,3,0
000000041431ED60,3,bufwrite,4,3,4,3
0000000414326500,4,bufwrite,4,3,4,0
00000004143294C0,3,bufwrite,7,4,2,3
0000000414336DA0,4,bufwrite,7,4,2,0
00000004161A0740,3,bufwrite,1,2,3,0
00000004161A0EE0,4,bufwrite,1,2,3,0
00000004161A8FA0,3,bufwrite,4,3,4,3
00000004161B0320,4,bufwrite,4,3,4,0
00000004161B3060,3,bufwrite,7,4,2,3
00000004161BB6C0,4,bufwrite,7,4,2,0
00000004180292A0,3,bufwrite,1,2,3,0
0000000418029E20,4,bufwrite,1,2,3,0
00000004180312C0,3,bufwrite,4,3,4,3
0000000418039B00,4,bufwrite,4,3,4,1
000000041803C780,3,bufwrite,7,4,2,3
