clock, pid, event name, prev pstate, next pstate, cpu
00000001CDB22A40, 2, 1, 2, 3, 1
00000001CDB42060, 3, 5, 4, 5, 1
00000001CDB4F160, 2, 4, 3, 4, 3
00000001CDB70B00, 3, 6, 5, 0, 3
00000001CDDFE2C0, 2, 7, 4, 2, 3
000000030BD65B40, 2, 1, 2, 3, 0
000000030BD6C1E0, 2, 4, 3, 4, 1
000000030BF57240, 4, 0, 0, 1, 1
000000030C3366E0, 2, 3, 4, 3, 1
000000030C337840, 4, 4, 3, 4, 3
000000030C344900, 2, 7, 4, 2, 1
000000030C81ABC0, 4, 7, 4, 2, 3
000000030C86B420, 4, 1, 2, 3, 3
000000030C86DB80, 4, 4, 3, 4, 0
000000030CC9E060, 4, 7, 4, 2, 0
000000030CCF5060, 4, 1, 2, 3, 3
000000030CCF6800, 4, 4, 3, 4, 1
000000030CD41F00, 4, 7, 4, 2, 1
000000030CD8F0A0, 4, 1, 2, 3, 3
000000030CD90680, 4, 4, 3, 4, 1
000000030CDDEB80, 4, 7, 4, 2, 1
000000030CE2B720, 4, 1, 2, 3, 3
000000030CE2C760, 4, 4, 3, 4, 1
000000030CE71740, 4, 7, 4, 2, 1
000000030CEC6BC0, 4, 1, 2, 3, 3
000000030CEC81E0, 4, 4, 3, 4, 1
000000030CF256E0, 4, 7, 4, 2, 1
000000030CF7B7C0, 4, 1, 2, 3, 3
000000030CF80900, 4, 4, 3, 4, 2
000000030D66E260, 4, 2, 4, 3, 2
000000030D678220, 4, 4, 3, 4, 1
000000030F1CEDC0, 4, 2, 4, 3, 1
000000030F1D9560, 4, 4, 3, 4, 0
00000003110F0900, 4, 2, 4, 3, 0
00000003110F9CE0, 4, 4, 3, 4, 1
0000000312CE2500, 4, 2, 4, 3, 1
0000000312CEB300, 4, 4, 3, 4, 3
000000031323F8E0, 4, 2, 4, 3, 3
0000000313249E80, 4, 4, 3, 4, 0
0000000314C6BFA0, 4, 2, 4, 3, 0
0000000314C74BA0, 4, 4, 3, 4, 3
00000003151B1620, 4, 2, 4, 3, 3
00000003151BA7C0, 4, 4, 3, 4, 2
00000003171D2760, 4, 2, 4, 3, 2
00000003171DCEA0, 4, 4, 3, 4, 3
0000000318DFD1A0, 4, 2, 4, 3, 3
0000000318E06140, 4, 4, 3, 4, 1
000000031A9FBA40, 4, 2, 4, 3, 1
000000031AA034E0, 4, 4, 3, 4, 2
000000031AA2F140, 4, 2, 4, 3, 2
000000031AA38860, 4, 4, 3, 4, 0
000000031C72EE60, 4, 2, 4, 3, 0
000000031C736E20, 4, 4, 3, 4, 3
000000031CB2A3A0, 4, 2, 4, 3, 3
000000031CB33AE0, 4, 4, 3, 4, 2
0000000000000000, 0, 0, 0, 0, 0
000000031EB12B80, 4, 4, 3, 4, 0
