clock,pid,pname,event_name,pstate_prev,pstate_next,cpu
0000000184825240,35,bufwrite,2,4,3,0
000000018485D580,14,bufwrite,4,3,4,2
0000000184866C20,26,bufwrite,4,3,4,6
0000000184884A20,14,bufwrite,2,4,3,2
0000000184887D80,26,bufwrite,2,4,3,6
000000018488CDA0,16,bufwrite,4,3,4,5
00000001848B1140,8,bufwrite,4,3,4,3
00000001848B6F40,16,bufwrite,2,4,3,5
00000001848C9960,12,bufwrite,4,3,4,1
00000001848D79C0,8,bufwrite,2,4,3,3
00000001848DA640,5,bufwrite,4,3,4,2
00000001848E7CA0,12,bufwrite,2,4,3,1
00000001848F4C00,5,bufwrite,2,4,3,2
0000000184973B60,18,bufwrite,4,3,4,7
00000001849778A0,35,bufwrite,2,4,3,0
0000000184987100,4,bufwrite,4,3,4,4
00000001849941E0,18,bufwrite,2,4,3,7
00000001849A7360,4,bufwrite,2,4,3,4
00000001849D5280,29,bufwrite,4,3,4,2
00000001849DF7E0,30,bufwrite,4,3,4,3
00000001849EBB20,24,bufwrite,4,3,4,5
00000001849EF220,29,bufwrite,2,4,3,2
00000001849F66C0,10,bufwrite,4,3,4,0
00000001849FBE20,30,bufwrite,2,4,3,3
0000000184A01D60,31,bufwrite,4,3,4,4
0000000184A0BD00,24,bufwrite,2,4,3,5
0000000184A133E0,10,bufwrite,2,4,3,0
0000000184A20280,33,bufwrite,4,3,4,6
0000000184A23CA0,31,bufwrite,2,4,3,4
0000000184A3CA80,33,bufwrite,2,4,3,6
0000000184A6ACA0,19,bufwrite,4,3,4,2
0000000184A78180,13,bufwrite,4,3,4,3
0000000184A852E0,32,bufwrite,4,3,4,5
0000000184A89B40,19,bufwrite,2,4,3,2
0000000184A94C60,13,bufwrite,2,4,3,3
0000000184A97200,27,bufwrite,4,3,4,1
0000000184AA5A40,32,bufwrite,2,4,3,5
0000000184AACCE0,27,bufwrite,2,4,3,1
0000000184AB09A0,6,bufwrite,4,3,4,7
0000000184AD21C0,23,bufwrite,4,3,4,4
0000000184AD6840,6,bufwrite,2,4,3,7
0000000184AE25E0,11,bufwrite,4,3,4,0
0000000184AEC760,16,bufwrite,4,3,4,5
0000000184AF1BE0,23,bufwrite,2,4,3,4
0000000184AFF100,11,bufwrite,2,4,3,0
0000000184B062E0,14,bufwrite,4,3,4,2
0000000184B13EE0,16,bufwrite,2,4,3,5
0000000184B21A40,14,bufwrite,2,4,3,2
0000000184B37740,17,bufwrite,4,3,4,6
0000000184B46480,22,bufwrite,4,3,4,3
0000000184B50220,20,bufwrite,4,3,4,0
0000000184B53400,17,bufwrite,2,4,3,6
0000000184B61A20,22,bufwrite,2,4,3,3
0000000184B71060,21,bufwrite,4,3,4,1
0000000184B767A0,20,bufwrite,2,4,3,0
0000000184B8DBA0,15,bufwrite,4,3,4,4
0000000184B932C0,21,bufwrite,2,4,3,1
0000000184B9A620,24,bufwrite,4,3,4,5
0000000184BABAA0,15,bufwrite,2,4,3,4
0000000184BBAEA0,24,bufwrite,2,4,3,5
0000000184BC0EC0,5,bufwrite,4,3,4,2
0000000184BD80E0,7,bufwrite,4,3,4,6
0000000184BE2380,5,bufwrite,2,4,3,2
