clock,pid,pname,event_name,pstate_prev,pstate_next,cpu
00000001BD557D20,21,,4,3,4,3
00000001BD55B160,9,,4,3,4,1
00000001BD55AFA0,25,,4,3,4,4
00000001BD559560,36,,2,4,3,5
00000001BD55F320,19,,4,3,4,2
00000001BD564EA0,30,,4,3,4,6
00000001BD56B480,5,,4,3,4,0
00000001BD5920E0,5,,4,3,4,0
00000001BD595040,6,,4,3,4,5
00000001BD5A37C0,30,,2,4,3,6
00000001BD5A3420,9,,2,4,3,1
00000001BD5AB5C0,25,,2,4,3,4
00000001BD5AA020,21,,2,4,3,3
00000001BD5B2440,19,,2,4,3,2
00000001BD5BB0C0,5,,2,4,3,0
00000001BD5BEAA0,6,,2,4,3,5
00000001BD5C07E0,31,,4,3,4,6
00000001BD5CDF20,22,,4,3,4,3
00000001BD5D9BC0,31,,2,4,3,6
00000001BD5DC720,10,,4,3,4,1
00000001BD5E94A0,22,,2,4,3,3
00000001BD5EB7A0,7,,4,3,4,0
00000001BD5F5CA0,10,,2,4,3,1
00000001BD5FE600,32,,4,3,4,6
00000001BD605C20,7,,2,4,3,0
00000001BD60ED60,8,,4,3,4,5
00000001BD616020,32,,2,4,3,6
00000001BD6194C0,9,,4,3,4,0
00000001BD6241E0,8,,2,4,3,5
00000001BD628B60,26,,4,3,4,4
00000001BD635780,9,,2,4,3,0
00000001BD637A60,20,,4,3,4,2
00000001BD641B40,26,,2,4,3,4
00000001BD6488A0,23,,4,3,4,3
00000001BD64F720,20,,2,4,3,2
00000001BD65C020,33,,4,3,4,6
00000001BD65E820,23,,2,4,3,3
00000001BD6676E0,11,,4,3,4,1
00000001BD676240,33,,2,4,3,6
00000001BD679D00,27,,4,3,4,4
00000001BD680AC0,11,,2,4,3,1
00000001BD684760,21,,4,3,4,2
00000001BD690A20,27,,2,4,3,4
00000001BD694140,10,,4,3,4,5
00000001BD6A14C0,21,,2,4,3,2
00000001BD6A84C0,24,,4,3,4,3
00000001BD6AEFA0,10,,2,4,3,5
00000001BD6B5EC0,28,,4,3,4,4
00000001BD6BD980,24,,2,4,3,3
00000001BD6C3460,34,,4,3,4,6
00000001BD6CD440,28,,2,4,3,4
00000001BD6D1420,12,,4,3,4,1
00000001BD6DB920,34,,2,4,3,6
00000001BD6DFB60,22,,4,3,4,2
00000001BD6EA2A0,12,,2,4,3,1
00000001BD6EE020,11,,4,3,4,5
00000001BD6F9D60,22,,2,4,3,2
00000001BD6FD040,25,,4,3,4,3
00000001BD708D60,11,,2,4,3,5
00000001BD70CB00,13,,4,3,4,1
00000001BD718200,25,,2,4,3,3
00000001BD71F360,35,,4,3,4,6
00000001BD723280,13,,2,4,3,1
00000001BD72EA20,12,,4,3,4,5
00000001BD7380C0,35,,2,4,3,6
00000001BD73D000,26,,4,3,4,3
00000001BD746BE0,12,,2,4,3,5
00000001BD749660,10,,4,3,4,0
00000001BD758D80,14,,4,3,4,1
00000001BD75CE00,26,,2,4,3,3
00000001BD760AA0,10,,2,4,3,0
00000001BD7671E0,36,,4,3,4,6
00000001BD76D640,14,,2,4,3,1
00000001BD772300,29,,4,3,4,4
00000001BD785E80,27,,4,3,4,3
00000001BD788120,36,,2,4,3,6
00000001BD78AF40,29,,2,4,3,4
00000001BD78F2A0,13,,4,3,4,5
00000001BD7A0280,27,,2,4,3,3
00000001BD7A0EC0,15,,4,3,4,1
00000001BD7A7480,13,,2,4,3,5
00000001BD7B2A40,30,,4,3,4,4
00000001BD7B4960,15,,2,4,3,1
00000001BD7C27A0,28,,4,3,4,3
00000001BD7C8440,30,,2,4,3,4
00000001BD7CC900,14,,4,3,4,5
00000001BD7DD0E0,28,,2,4,3,3
00000001BD7DF480,11,,4,3,4,0
00000001BD7E4100,14,,2,4,3,5
00000001BD7EA8E0,23,,4,3,4,2
00000001BD7F0100,11,,2,4,3,0
00000001BD7F9E60,31,,4,3,4,4
00000001BD7FFD20,23,,2,4,3,2
00000001BD804340,16,,4,3,4,1
00000001BD80FB80,31,,2,4,3,4
00000001BD818CE0,12,,4,3,4,0
00000001BD819700,16,,2,4,3,1
00000001BD821EA0,15,,4,3,4,5
00000001BD827220,12,,2,4,3,0
00000001BD82DCA0,32,,4,3,4,4
00000001BD839180,15,,2,4,3,5
00000001BD83B040,13,,4,3,4,0
00000001BD846FC0,32,,2,4,3,4
00000001BD84A360,17,,4,3,4,1
00000001BD84FCA0,5,,4,3,4,6
00000001BD8518E0,13,,2,4,3,0
00000001BD862060,33,,4,3,4,4
00000001BD864880,17,,2,4,3,1
00000001BD868B60,5,,2,4,3,6
00000001BD86AD60,29,,4,3,4,3
00000001BD878A00,33,,2,4,3,4
00000001BD87B120,16,,4,3,4,5
00000001BD880D20,29,,2,4,3,3
00000001BD88C060,24,,4,3,4,2
00000001BD890840,16,,2,4,3,5
00000001BD896460,18,,4,3,4,1
00000001BD8A0880,24,,2,4,3,2
00000001BD8A7DC0,34,,4,3,4,4
00000001BD8AC440,18,,2,4,3,1
00000001BD8B0540,14,,4,3,4,0
00000001BD8BDBA0,14,,2,4,3,0
00000001BD8BEB20,34,,2,4,3,4
00000001BD8C1F20,30,,4,3,4,3
00000001BD8CDEC0,25,,4,3,4,2
00000001BD8CF060,30,,2,4,3,3
00000001BD8D9DC0,15,,4,3,4,0
00000001BD8DD880,25,,2,4,3,2
00000001BD8E5380,15,,2,4,3,0
00000001BD8EAF20,19,,4,3,4,1
00000001BD8F6580,17,,4,3,4,0
00000001BD909C20,19,,2,4,3,1
00000001BD908FE0,31,,4,3,4,3
00000001BD90C4E0,17,,2,4,3,0
00000001BD913560,18,,4,3,4,5
00000001BD91B020,31,,2,4,3,3
00000001BD91E4E0,20,,4,3,4,1
00000001BD92DE40,18,,2,4,3,5
00000001BD92F980,19,,4,3,4,0
00000001BD93C720,20,,2,4,3,1
00000001BD93E0C0,19,,2,4,3,0
00000001BD942460,35,,4,3,4,4
00000001BD953380,32,,4,3,4,3
00000001BD957180,35,,2,4,3,4
00000001BD95F960,32,,2,4,3,3
00000001BD965940,21,,4,3,4,1
00000001BD972620,26,,4,3,4,2
00000001BD9738C0,21,,2,4,3,1
00000001BD97FB40,26,,2,4,3,2
00000001BD9831E0,6,,4,3,4,6
00000001BD98E780,33,,4,3,4,3
00000001BD99BF60,6,,2,4,3,6
00000001BD99E560,36,,4,3,4,4
00000001BD9A0CA0,33,,2,4,3,3
00000001BD9ABFE0,36,,2,4,3,4
00000001BD9AFA80,27,,4,3,4,2
00000001BD9BA600,20,,4,3,4,0
00000001BD9BC6C0,27,,2,4,3,2
00000001BD9C65E0,20,,2,4,3,0
00000001BD9CE3E0,22,,4,3,4,1
00000001BD9D9EE0,28,,4,3,4,2
00000001BD9DA520,22,,2,4,3,1
00000001BD9E7F40,21,,4,3,4,0
00000001BD9EA080,28,,2,4,3,2
00000001BD9F4160,5,,4,3,4,4
00000001BD9F40C0,21,,2,4,3,0
00000001BDA003E0,19,,4,3,4,5
00000001BDA01060,5,,2,4,3,4
00000001BDA0E5A0,23,,4,3,4,0
00000001BDA0FB00,19,,2,4,3,5
00000001BDA1AF20,24,,4,3,4,1
00000001BDA1DA20,23,,2,4,3,0
00000001BDA28120,24,,2,4,3,1
00000001BDA29F40,29,,4,3,4,2
00000001BDA36200,29,,2,4,3,2
00000001BDA3A4E0,25,,4,3,4,0
00000001BDA46CA0,25,,2,4,3,0
00000001BDA48780,34,,4,3,4,3
00000001BDA55620,34,,2,4,3,3
00000001BDA55520,26,,4,3,4,1
00000001BDA61F60,30,,4,3,4,2
00000001BDA62B80,26,,2,4,3,1
00000001BDA6F7A0,7,,4,3,4,4
00000001BDA70E60,30,,2,4,3,2
00000001BDA79A40,27,,4,3,4,1
00000001BDA88020,7,,2,4,3,4
00000001BDA8B6E0,27,,2,4,3,1
00000001BDA8D4E0,31,,4,3,4,2
00000001BDA9B560,8,,4,3,4,6
00000001BDA9BD60,31,,2,4,3,2
00000001BDAA79C0,26,,4,3,4,0
00000001BDAB96A0,8,,2,4,3,6
00000001BDABB680,26,,2,4,3,0
00000001BDABDF80,32,,4,3,4,2
00000001BDAC82A0,20,,4,3,4,5
00000001BDACAA20,32,,2,4,3,2
00000001BDAD5400,20,,2,4,3,5
00000001BDADAC40,9,,4,3,4,6
00000001BDAE7480,28,,4,3,4,1
00000001BDAED1C0,9,,2,4,3,6
00000001BDAF4AA0,35,,4,3,4,3
00000001BDAF5460,28,,2,4,3,1
00000001BDB01D00,35,,2,4,3,3
00000001BDB02AE0,10,,4,3,4,6
00000001BDB0D7C0,29,,4,3,4,1
00000001BDB14900,10,,2,4,3,6
00000001BDB1BC80,36,,4,3,4,3
00000001BDB1BC40,29,,2,4,3,1
00000001BDB28EA0,36,,2,4,3,3
00000001BDB2A120,27,,4,3,4,0
00000001BDB36320,8,,4,3,4,4
00000001BDB38440,27,,2,4,3,0
00000001BDB433C0,8,,2,4,3,4
00000001BDB47840,30,,4,3,4,1
00000001BDB52AE0,30,,2,4,3,1
00000001BDB57EC0,11,,4,3,4,6
00000001BDB64620,9,,4,3,4,4
00000001BDB664E0,11,,2,4,3,6
00000001BDB6B380,5,,4,3,4,3
00000001BDB76340,9,,2,4,3,4
00000001BDB7B960,28,,4,3,4,0
00000001BDB7BDE0,5,,2,4,3,3
00000001BDB86DC0,21,,4,3,4,5
00000001BDB89EA0,28,,2,4,3,0
00000001BDB928A0,33,,4,3,4,2
00000001BDB94B20,21,,2,4,3,5
00000001BDBA0240,6,,4,3,4,3
00000001BDBA1C00,33,,2,4,3,2
00000001BDBACCE0,6,,2,4,3,3
00000001BDBAFF00,12,,4,3,4,6
00000001BDBBBD40,31,,4,3,4,1
00000001BDBC0480,12,,2,4,3,6
00000001BDBC8E60,7,,4,3,4,3
00000001BDBCA3A0,31,,2,4,3,1
00000001BDBD61C0,7,,2,4,3,3
00000001BDBD8A00,29,,4,3,4,0
00000001BDBE4CC0,29,,2,4,3,0
00000001BDBE9FC0,13,,4,3,4,6
00000001BDBF5EC0,10,,4,3,4,4
00000001BDBF9140,13,,2,4,3,6
