clock,pid,pname,event_name,pstate_prev,pstate_next,cpu
000000029474C680,25,,2,4,3,2
000000029474ED60,35,,2,4,3,6
000000029474FEA0,32,,4,3,4,0
0000000294786F60,29,,4,3,4,1
0000000294792040,32,,2,4,3,0
00000002947A6240,14,,4,3,4,3
00000002947A8CA0,29,,2,4,3,1
00000002947C62C0,9,,4,3,4,4
00000002947C8660,14,,2,4,3,3
00000002947E6C80,9,,2,4,3,4
000000029487F040,30,,4,3,4,1
000000029489B8C0,30,,2,4,3,1
000000029489CD60,33,,4,3,4,0
00000002948BAC00,15,,4,3,4,3
00000002948BEB60,33,,2,4,3,0
00000002948D7220,31,,4,3,4,1
00000002948D9C40,15,,2,4,3,3
00000002948F1FE0,31,,2,4,3,1
00000002948FA2A0,26,,4,3,4,2
0000000294915460,16,,4,3,4,3
000000029491D4E0,26,,2,4,3,2
000000029492CCE0,5,,4,3,4,6
0000000294937C80,16,,2,4,3,3
000000029494C860,27,,4,3,4,2
000000029494E9A0,5,,2,4,3,6
000000029496A5E0,27,,2,4,3,2
000000029496EBE0,34,,4,3,4,0
000000029498D980,34,,2,4,3,0
0000000294990100,6,,4,3,4,6
00000002949AD3E0,17,,4,3,4,3
00000002949B0C80,6,,2,4,3,6
00000002949CA1A0,17,,2,4,3,3
00000002949D17E0,28,,4,3,4,2
00000002949EFBC0,28,,2,4,3,2
00000002949F2240,10,,4,3,4,4
0000000294A0EA40,10,,2,4,3,4
0000000294A102A0,18,,4,3,4,3
0000000294A2E7E0,35,,4,3,4,0
0000000294A30740,18,,2,4,3,3
0000000294A4DEE0,7,,4,3,4,6
0000000294A53080,35,,2,4,3,0
0000000294A6AF00,11,,4,3,4,4
0000000294A6CE00,7,,2,4,3,6
0000000294A86260,11,,2,4,3,4
0000000294A87D80,19,,4,3,4,3
0000000294AA3600,19,,2,4,3,3
0000000294AA4C40,29,,4,3,4,2
0000000294ABF940,29,,2,4,3,2
0000000294B5BF20,30,,4,3,4,2
0000000294B76640,32,,4,3,4,1
0000000294B798A0,30,,2,4,3,2
0000000294B8A8E0,5,,4,3,4,0
0000000294B95A60,32,,2,4,3,1
0000000294BA6FA0,5,,2,4,3,0
0000000294BA8800,12,,4,3,4,4
0000000294BC4D80,12,,2,4,3,4
0000000294BC6040,20,,4,3,4,3
0000000294BDFBA0,33,,4,3,4,1
0000000294BE1660,20,,2,4,3,3
0000000294C02700,13,,4,3,4,4
0000000294C04920,33,,2,4,3,1
0000000294C1FC20,13,,2,4,3,4
0000000294C21540,31,,4,3,4,2
0000000294C3B5C0,31,,2,4,3,2
0000000294CB5EE0,4,,7,4,2,5
0000000294CD0C80,6,,4,3,4,5
0000000294CE14A0,6,,2,4,3,5
0000000294CEE700,21,,4,3,4,3
0000000294D00360,21,,2,4,3,3
0000000294D0B5E0,8,,4,3,4,5
0000000294D26EC0,34,,4,3,4,1
0000000294D2A500,8,,2,4,3,5
0000000294D42840,32,,4,3,4,2
0000000294D44260,34,,2,4,3,1
0000000294D54DC0,32,,2,4,3,2
0000000294D5F8E0,9,,4,3,4,6
0000000294D7B360,33,,4,3,4,2
0000000294D7CAC0,9,,2,4,3,6
0000000294D8F000,33,,2,4,3,2
0000000294D984E0,22,,4,3,4,3
0000000294DB2560,22,,2,4,3,3
0000000294DB4EC0,10,,4,3,4,5
0000000294DD05C0,14,,4,3,4,4
0000000294DD3540,10,,2,4,3,5
0000000294DEB860,35,,4,3,4,1
0000000294DEE800,14,,2,4,3,4
0000000294DFFD20,35,,2,4,3,1
0000000294E09EC0,6,,4,3,4,0
0000000294ECAC80,6,,2,4,3,0
0000000294ED6680,15,,4,3,4,4
0000000294EF0960,15,,2,4,3,4
0000000294EF34C0,11,,4,3,4,5
0000000294F10620,23,,4,3,4,3
0000000294F12220,11,,2,4,3,5
0000000294F2B8E0,23,,2,4,3,3
0000000294F2FD00,10,,4,3,4,6
