clock,pid,pname,event_name,pstate_prev,pstate_next,cpu
00000001C62D78E0,36,,2,4,3,4
00000001C62D7240,32,,2,4,3,0
00000001C62DAD20,21,,2,4,3,5
00000001C62D9EC0,12,,4,3,4,1
00000001C62F75A0,6,,4,3,4,6
00000001C630C800,12,,2,4,3,1
00000001C6313F60,19,,4,3,4,2
00000001C6318C60,6,,2,4,3,6
00000001C6325A20,14,,4,3,4,3
00000001C6339940,19,,2,4,3,2
00000001C634AB20,14,,2,4,3,3
00000001C634D640,22,,4,3,4,4
00000001C636D0E0,22,,2,4,3,4
00000001C637AB20,33,,4,3,4,1
00000001C6383AA0,13,,4,3,4,2
00000001C638BC80,30,,4,3,4,5
00000001C6396600,33,,2,4,3,1
00000001C63A3680,11,,4,3,4,0
00000001C63AA800,13,,2,4,3,2
00000001C63B07E0,35,,4,3,4,3
00000001C63B2560,30,,2,4,3,5
00000001C63C5F00,23,,4,3,4,6
00000001C63CC760,35,,2,4,3,3
00000001C63CE420,11,,2,4,3,0
00000001C63D44C0,15,,4,3,4,4
00000001C63EDCA0,23,,2,4,3,6
00000001C63F9CC0,15,,2,4,3,4
00000001C641AA20,8,,4,3,4,5
00000001C64320C0,26,,4,3,4,2
00000001C643B7A0,8,,2,4,3,5
00000001C643EB00,24,,4,3,4,3
00000001C6446C60,9,,4,3,4,1
00000001C644FA00,16,,4,3,4,6
00000001C6453500,26,,2,4,3,2
00000001C64647A0,24,,2,4,3,3
00000001C6469B60,9,,2,4,3,1
00000001C646ED60,18,,4,3,4,0
00000001C6475800,16,,2,4,3,6
00000001C648D360,18,,2,4,3,0
00000001C64965E0,17,,4,3,4,5
00000001C64A0700,7,,4,3,4,3
00000001C64B7B20,27,,4,3,4,1
00000001C64BDDE0,17,,2,4,3,5
00000001C64C2F00,7,,2,4,3,3
00000001C64DB300,27,,2,4,3,1
00000001C64DD360,25,,4,3,4,0
00000001C64FA860,31,,4,3,4,6
00000001C64FC0A0,25,,2,4,3,0
00000001C6507600,5,,4,3,4,2
00000001C6517560,21,,4,3,4,5
00000001C651E240,31,,2,4,3,6
00000001C65278C0,10,,4,3,4,4
00000001C652E6C0,5,,2,4,3,2
00000001C6532420,20,,4,3,4,1
00000001C6545A60,21,,2,4,3,5
00000001C654A440,10,,2,4,3,4
00000001C6551CC0,28,,4,3,4,3
00000001C655B120,20,,2,4,3,1
00000001C656D4E0,28,,2,4,3,3
00000001C6587AE0,6,,4,3,4,6
00000001C659A120,30,,4,3,4,5
00000001C65A3760,29,,4,3,4,4
00000001C65AF120,32,,4,3,4,0
00000001C65B1FA0,6,,2,4,3,6
00000001C65BCC60,34,,4,3,4,2
00000001C65C3E00,30,,2,4,3,5
00000001C65CCD80,29,,2,4,3,4
00000001C65CD0C0,12,,4,3,4,1
00000001C65D1640,32,,2,4,3,0
00000001C65D9120,14,,4,3,4,3
00000001C65E1EC0,34,,2,4,3,2
00000001C65F0080,12,,2,4,3,1
00000001C65FD5A0,14,,2,4,3,3
00000001C6611CC0,23,,4,3,4,6
00000001C6623BA0,11,,4,3,4,0
00000001C6636800,23,,2,4,3,6
00000001C663C3A0,8,,4,3,4,5
00000001C664BE60,11,,2,4,3,0
00000001C6654AC0,19,,4,3,4,2
00000001C6660660,8,,2,4,3,5
00000001C666ADA0,35,,4,3,4,3
00000001C66740E0,19,,2,4,3,2
00000001C6676400,16,,4,3,4,6
00000001C66908C0,35,,2,4,3,3
00000001C6698960,16,,2,4,3,6
00000001C66A80E0,36,,4,3,4,4
00000001C66B08E0,17,,4,3,4,5
00000001C66C83A0,33,,4,3,4,1
00000001C66C8940,36,,2,4,3,4
00000001C66D1DC0,13,,4,3,4,2
00000001C66D4A80,17,,2,4,3,5
00000001C66E6B20,33,,2,4,3,1
00000001C66EC520,18,,4,3,4,0
00000001C66EFAA0,13,,2,4,3,2
00000001C670D380,18,,2,4,3,0
00000001C672F980,31,,4,3,4,6
00000001C67396E0,22,,4,3,4,4
00000001C67422E0,24,,4,3,4,3
00000001C674D8A0,21,,4,3,4,5
00000001C674F200,31,,2,4,3,6
00000001C675A720,9,,4,3,4,1
00000001C675FA00,22,,2,4,3,4
00000001C6769FA0,24,,2,4,3,3
00000001C676C480,21,,2,4,3,5
00000001C6773C80,25,,4,3,4,0
00000001C677E9E0,9,,2,4,3,1
00000001C67935C0,25,,2,4,3,0
00000001C67AD980,30,,4,3,4,5
00000001C67BBCC0,7,,4,3,4,3
00000001C67C9B40,30,,2,4,3,5
00000001C67D9620,7,,2,4,3,3
00000001C67DBB80,15,,4,3,4,4
00000001C67F68C0,27,,4,3,4,1
00000001C67FD100,15,,2,4,3,4
00000001C68072C0,6,,4,3,4,6
00000001C681E680,6,,2,4,3,6
00000001C6820060,27,,2,4,3,1
00000001C6821760,28,,4,3,4,3
00000001C682B800,26,,4,3,4,2
00000001C6833420,32,,4,3,4,0
00000001C683B460,10,,4,3,4,4
00000001C6845D80,28,,2,4,3,3
00000001C6847F80,8,,4,3,4,5
00000001C68505E0,26,,2,4,3,2
00000001C6854DC0,32,,2,4,3,0
00000001C68660C0,10,,2,4,3,4
00000001C6869B20,8,,2,4,3,5
00000001C688B4A0,20,,4,3,4,1
00000001C6897080,5,,4,3,4,2
00000001C68A9240,20,,2,4,3,1
00000001C68B7A60,5,,2,4,3,2
00000001C68BF1E0,23,,4,3,4,6
00000001C68D1540,11,,4,3,4,0
00000001C68D9800,23,,2,4,3,6
00000001C68EDB00,11,,2,4,3,0
00000001C68F3380,12,,4,3,4,1
00000001C68FE880,29,,4,3,4,4
00000001C69072A0,17,,4,3,4,5
00000001C6910000,12,,2,4,3,1
00000001C6918300,34,,4,3,4,2
00000001C691D160,29,,2,4,3,4
00000001C6924EC0,17,,2,4,3,5
00000001C6939300,34,,2,4,3,2
00000001C6948180,14,,4,3,4,3
00000001C695ED20,14,,2,4,3,3
00000001C6979920,18,,4,3,4,0
00000001C6985280,36,,4,3,4,4
00000001C6993A60,18,,2,4,3,0
00000001C6992CE0,21,,4,3,4,5
00000001C699E720,16,,4,3,4,6
00000001C69A0A60,36,,2,4,3,4
00000001C69AED80,21,,2,4,3,5
00000001C69B4760,33,,4,3,4,1
00000001C69B6840,16,,2,4,3,6
00000001C69BF100,19,,4,3,4,2
00000001C69CC1C0,33,,2,4,3,1
00000001C69DB060,19,,2,4,3,2
00000001C69F8040,35,,4,3,4,3
00000001C6A10E80,35,,2,4,3,3
00000001C6A12CC0,22,,4,3,4,4
00000001C6A1D900,9,,4,3,4,1
00000001C6A29380,30,,4,3,4,5
00000001C6A2AF80,22,,2,4,3,4
00000001C6A32F00,31,,4,3,4,6
00000001C6A35C60,9,,2,4,3,1
00000001C6A42B60,30,,2,4,3,5
00000001C6A474E0,13,,4,3,4,2
00000001C6A4A680,31,,2,4,3,6
00000001C6A625C0,13,,2,4,3,2
00000001C6A9B5C0,8,,4,3,4,5
00000001C6AA2D20,27,,4,3,4,1
00000001C6AAD3A0,24,,4,3,4,3
00000001C6AB35A0,8,,2,4,3,5
00000001C6AC1680,27,,2,4,3,1
00000001C6AC7000,26,,4,3,4,2
00000001C6ACB9A0,24,,2,4,3,3
00000001C6ADFD60,26,,2,4,3,2
00000001C6B0C3C0,15,,4,3,4,4
00000001C6B18B60,20,,4,3,4,1
00000001C6B242E0,15,,2,4,3,4
00000001C6B261A0,25,,4,3,4,0
00000001C6B31740,20,,2,4,3,1
00000001C6B32E60,17,,4,3,4,5
00000001C6B3B700,25,,2,4,3,0
00000001C6B3D460,6,,4,3,4,6
00000001C6B46DC0,7,,4,3,4,3
00000001C6B4A6A0,17,,2,4,3,5
00000001C6B5DA20,7,,2,4,3,3
00000001C6B5F4E0,6,,2,4,3,6
00000001C6B67240,5,,4,3,4,2
00000001C6B7EA00,5,,2,4,3,2
00000001C6B80040,12,,4,3,4,1
00000001C6B93200,32,,4,3,4,0
00000001C6B95060,12,,2,4,3,1
00000001C6BAA060,32,,2,4,3,0
00000001C6BBDF40,10,,4,3,4,4
00000001C6BD8B00,10,,2,4,3,4
00000001C6BDEDE0,21,,4,3,4,5
00000001C6BEC7A0,34,,4,3,4,2
00000001C6BF7BA0,21,,2,4,3,5
00000001C6BF7660,23,,4,3,4,6
00000001C6C03440,28,,4,3,4,3
00000001C6C06F40,34,,2,4,3,2
00000001C6C0D140,11,,4,3,4,0
00000001C6C148C0,23,,2,4,3,6
00000001C6C17160,33,,4,3,4,1
00000001C6C21EA0,28,,2,4,3,3
00000001C6C311A0,11,,2,4,3,0
00000001C6C33F40,33,,2,4,3,1
00000001C6C734C0,30,,4,3,4,5
00000001C6C7F720,29,,4,3,4,4
00000001C6C8AE40,30,,2,4,3,5
00000001C6C8DCE0,9,,4,3,4,1
00000001C6C987C0,18,,4,3,4,0
00000001C6C99CC0,29,,2,4,3,4
00000001C6CA5360,9,,2,4,3,1
00000001C6CAAFE0,16,,4,3,4,6
00000001C6CAFCE0,18,,2,4,3,0
00000001C6CB51C0,14,,4,3,4,3
00000001C6CC3880,16,,2,4,3,6
00000001C6CCB740,14,,2,4,3,3
00000001C6CCCD60,19,,4,3,4,2
00000001C6CE27E0,19,,2,4,3,2
00000001C6CF1CA0,27,,4,3,4,1
00000001C6D09FE0,27,,2,4,3,1
00000001C6D12460,35,,4,3,4,3
00000001C6D29D60,31,,4,3,4,6
00000001C6D306C0,35,,2,4,3,3
00000001C6D40060,8,,4,3,4,5
00000001C6D4A1A0,31,,2,4,3,6
00000001C6D5C260,8,,2,4,3,5
00000001C6D626A0,36,,4,3,4,4
00000001C6D781C0,36,,2,4,3,4
00000001C6D7B760,13,,4,3,4,2
00000001C6D852A0,6,,4,3,4,6
00000001C6D92C20,13,,2,4,3,2
00000001C6D95420,24,,4,3,4,3
00000001C6D9F060,6,,2,4,3,6
00000001C6DA6420,25,,4,3,4,0
00000001C6DB38C0,24,,2,4,3,3
00000001C6DB5740,20,,4,3,4,1
00000001C6DC76E0,25,,2,4,3,0
00000001C6DCE7E0,20,,2,4,3,1
00000001C6DD0F60,17,,4,3,4,5
00000001C6DE5620,17,,2,4,3,5
00000001C6DF9140,26,,4,3,4,2
00000001C6E11400,26,,2,4,3,2
00000001C6E13200,7,,4,3,4,3
00000001C6E1AFE0,32,,4,3,4,0
00000001C6E288C0,7,,2,4,3,3
00000001C6E30720,22,,4,3,4,4
00000001C6E35980,32,,2,4,3,0
00000001C6E3A5E0,12,,4,3,4,1
00000001C6E4B220,23,,4,3,4,6
00000001C6E4CD00,22,,2,4,3,4
00000001C6E53740,12,,2,4,3,1
00000001C6E65000,23,,2,4,3,6
00000001C6E842A0,5,,4,3,4,2
00000001C6E9BD60,5,,2,4,3,2
00000001C6E9DEA0,15,,4,3,4,4
00000001C6EA7DC0,11,,4,3,4,0
00000001C6EB2D60,21,,4,3,4,5
00000001C6EB9020,15,,2,4,3,4
00000001C6EBBE20,33,,4,3,4,1
00000001C6EC1BE0,11,,2,4,3,0
00000001C6EC4B40,28,,4,3,4,3
00000001C6ECEF40,21,,2,4,3,5
00000001C6EDBF20,33,,2,4,3,1
00000001C6EE1160,28,,2,4,3,3
00000001C6EFFE80,10,,4,3,4,4
