clock,pid,pname,event_name,pstate_prev,pstate_next,cpu
00000001B6F33E80,7,,4,3,4,1
00000001B6F36940,36,,2,4,3,5
00000001B6F37720,8,,4,3,4,2
00000001B6F35280,25,,4,3,4,0
00000001B6F37620,18,,4,3,4,6
00000001B6F3D980,10,,2,4,3,3
00000001B6F38AC0,22,,4,3,4,4
00000001B6F74A00,7,,2,4,3,1
00000001B6F77CC0,25,,2,4,3,0
00000001B6F7DD60,8,,2,4,3,2
00000001B6F799E0,18,,2,4,3,6
00000001B6F7B200,20,,4,3,4,3
00000001B6F88EC0,14,,4,3,4,5
00000001B6F89DA0,22,,2,4,3,4
00000001B6FA84E0,6,,4,3,4,0
00000001B6FAEA80,20,,2,4,3,3
00000001B6FAFEA0,19,,4,3,4,1
00000001B6FB1520,27,,4,3,4,2
00000001B6FBC580,14,,2,4,3,5
00000001B6FBDE20,15,,4,3,4,6
00000001B6FC77A0,28,,4,3,4,4
00000001B6FCC2E0,6,,2,4,3,0
00000001B6FDA900,27,,2,4,3,2
00000001B6FDDEC0,11,,4,3,4,3
00000001B6FDD260,19,,2,4,3,1
00000001B6FEF0E0,15,,2,4,3,6
00000001B6FF41C0,28,,2,4,3,4
00000001B7001E80,11,,2,4,3,3
00000001B7004FC0,16,,4,3,4,5
00000001B7007B80,5,,4,3,4,0
00000001B7014EC0,26,,4,3,4,1
00000001B701AC60,34,,4,3,4,2
00000001B70289C0,12,,4,3,4,4
00000001B702BA80,24,,4,3,4,6
00000001B7033D80,16,,2,4,3,5
00000001B7036AE0,5,,2,4,3,0
00000001B703BDA0,35,,4,3,4,3
00000001B7041060,26,,2,4,3,1
00000001B70513C0,34,,2,4,3,2
00000001B705C000,24,,2,4,3,6
00000001B705ED00,12,,2,4,3,4
00000001B70709C0,35,,2,4,3,3
00000001B70734C0,31,,4,3,4,0
00000001B7072220,23,,4,3,4,5
00000001B708BC60,33,,4,3,4,1
00000001B708F740,9,,4,3,4,2
00000001B709C120,31,,2,4,3,0
00000001B709A620,13,,4,3,4,4
00000001B709ADE0,23,,2,4,3,5
00000001B70A6F20,32,,4,3,4,6
00000001B70A6C20,30,,4,3,4,3
00000001B70C0980,33,,2,4,3,1
00000001B70C6240,13,,2,4,3,4
